source,target,weight
AFG,TKM,0.189
ALB,SLE,22.012
ALB,KEN,10.836
ALB,BLZ,9.551
ALB,AFG,0.739
ALB,COM,4.251
ALB,PAN,5.896
ALB,SAU,21.362
ALB,LKA,2.176
ALB,MHL,3.309
ALB,GMB,0.002
ALB,TZA,5.557
ALB,AZE,2.865
ALB,IRL,0.315
ALB,HND,0.002
ALB,TGO,6.582
ALB,GEO,5.154999999999999
ALB,QAT,10.998
ALB,KOR,0.337
ALB,MOZ,1.009
ALB,LBR,10.147
ALB,THA,3.508
ALB,SDN,0.818
ALB,ZAF,4.978
ARG,VUT,178.615
ARG,BDI,670.265
ARG,BLZ,415.468
ARG,CAF,97.5
ARG,SYC,104.807
ARG,COM,245.616
ARG,PNG,646.2839999999999
ARG,ATG,598.712
ARG,GNB,492.557
ARG,ZMB,708.307
ARG,FJI,459.23
ARG,MMR,468.243
ARG,BWA,1.4860000000000002
ARG,GRD,610.922
ARG,KNA,286.139
ARG,BRN,86.727
ARG,LAO,12.395
ARG,TJK,444.422
ARG,MDV,206.377
ARG,VCT,514.922
ARG,DMA,413.6110000000001
ARM,KHM,0.098
ARM,SLE,3.964
ARM,JOR,0.048
ARM,GHA,3.83
ARM,NZL,0.66
ARM,MNG,10.795
ARM,UGA,6.96
ARM,PHL,1.0
ARM,BRA,0.475
ARM,TZA,19.953
ARM,IRL,0.583
ARM,ARG,2.0
ARM,URY,4.59
ARM,PRT,3.164
ARM,NAM,5.991
ARM,MDV,0.039
ARM,OMN,0.12
ARM,NOR,20.832
ARM,ALB,12.9
ARM,ZWE,12.75
ARM,MEX,0.003
ARM,FIN,0.616
ATG,GHA,0.222
ATG,ZMB,0.186
ATG,IRL,0.235
ATG,HND,0.403
ATG,MEX,0.151
ATG,HTI,0.111
AUS,TKM,380.018
AUS,NER,310.727
AUS,BDI,44.641000000000005
AUS,MDA,115.467
AUS,BLZ,97.911
AUS,GNQ,993.997
AUS,CAF,21.454
AUS,TCD,461.08
AUS,BLR,336.154
AUS,ATG,343.678
AUS,UZB,977.598
AUS,PRY,343.522
AUS,GNB,180.787
AUS,BHS,1690.463
AUS,NIC,413.858
AUS,SVK,1843.535
AUS,MKD,1033.428
AUS,MHL,1215.844
AUS,LCA,709.825
AUS,GMB,593.86
AUS,GRD,63.938
AUS,LUX,950.052
AUS,KNA,107.397
AUS,HND,612.8260000000001
AUS,SWZ,213.262
AUS,KGZ,1333.7589999999998
AUS,TJK,420.54
AUS,PLW,618.3119999999999
AUS,ARM,1421.5140000000004
AUS,BEN,1427.04
AUS,BTN,35.254
AUS,ZWE,1303.167
AUS,VCT,49.777
AUS,DMA,311.928
AUS,BOL,625.1
AUS,RWA,98.985
AUS,HTI,1341.593
AUT,NER,686.6769999999999
AUT,VUT,45.797
AUT,KHM,1422.594
AUT,SLE,557.2930000000001
AUT,BDI,165.304
AUT,GNQ,1350.42
AUT,GUY,321.71500000000003
AUT,CAF,114.42300000000002
AUT,SYC,1505.061
AUT,GIN,484.381
AUT,COM,39.49
AUT,PNG,1375.5669999999998
AUT,ATG,229.44
AUT,GNB,5.883
AUT,FSM,3.743
AUT,WSM,13.914
AUT,FJI,238.6
AUT,MHL,619.568
AUT,GMB,724.9050000000001
AUT,MWI,213.132
AUT,GRD,73.155
AUT,STP,15.197
AUT,KNA,157.12
AUT,SWZ,10.944
AUT,BRN,889.392
AUT,LSO,1.392
AUT,CPV,602.613
AUT,MDG,1147.0780000000002
AUT,PRK,876.66
AUT,ZWE,1175.687
AUT,VCT,109.844
AUT,KIR,2.45
AUT,DMA,86.869
AUT,RWA,270.341
AZE,HUN,35.257
AZE,SLE,32.661
AZE,GAB,10.491
AZE,JOR,57.832
AZE,BLZ,24.751
AZE,TTO,0.52
AZE,GNQ,1.214
AZE,SVN,6.257
AZE,SYC,56.336
AZE,AUS,106.936
AZE,PAK,7.332
AZE,GHA,66.293
AZE,NZL,55.129
AZE,PAN,46.389
AZE,BHR,7.93
AZE,COL,4.454
AZE,UGA,0.306
AZE,SVK,146.109
AZE,BRA,96.45
AZE,CAN,225.70800000000003
AZE,ECU,0.502
AZE,TZA,3.439
AZE,LUX,130.914
AZE,IRL,42.42999999999999
AZE,PER,1.35
AZE,BRN,26.018000000000004
AZE,COG,25.953
AZE,QAT,24.258000000000003
AZE,NOR,269.2799999999999
AZE,ALB,9.8
AZE,LBY,0.76
AZE,MOZ,330.969
AZE,KWT,60.132
AZE,AGO,2.066
AZE,MEX,32.264
AZE,VEN,0.2769999999999999
AZE,FIN,69.012
AZE,NGA,28.800000000000004
AZE,ZAF,0.01
BDI,BIH,0.716
BDI,NER,3.809
BDI,GIN,3.047
BDI,ISR,3.515
BDI,NIC,1.17
BDI,HND,1.746
BDI,NPL,2.266
BDI,TGO,0.996
BDI,BEN,2.96
BDI,NOR,0.496
BDI,ETH,1.774
BEL,VUT,157.973
BEL,BLZ,814.273
BEL,ATG,478.186
BEL,WSM,1226.542
BEL,FJI,1737.9049999999995
BEL,LCA,1801.103
BEL,GRD,674.6540000000001
BEL,STP,3273.465
