country_iso3,gdp_us_dollar
ABW,2549720670
AFG,17804292964
AGO,111789686464
ALB,12890765324
AND,3629203786
ARB,2494028778449
ARE,350666031314
ARG,530163281575
ARM,10142111334
ASM,574000000
ATG,1137637037
AUS,1396649906339
AUT,431120310089
AZE,65951627200
BDI,2235820868
BEL,522645519184
BEN,10693321954
BFA,12080296644
BGD,128637938711
BGR,57386216850
BHR,28776595745
BHS,10070450000
BIH,18644723861
BLR,61757788945
BLZ,1460800000
BMU,6312691000
BOL,23963033431
BRA,2616200980392
BRB,4657500000
BRN,18525319978
BTN,1777101317
BWA,15351972361
CAF,2437982840
CAN,1788647906048
CEB,1449107473075
CHE,699579638413
CHL,252251992029
CHN,7551500124203
CIV,25414875503
CMR,29375448542
COD,25839749199
COG,15655384440
COL,334943871932
COM,1023086184
CPV,1865915544
CRI,42262697840
CSS,69668274256
CUB,68990000000
CUW,3038699609
CYM,4186223865
CYP,27565469098
CZE,229562733399
DEU,3744408602684
DJI,1239144502
DMA,501025925.9
DNK,344003137611
DOM,58029750744
DZA,200254371997
EAP,9620273762794
EAR,9613820765240
EAS,19687376400049
ECA,3660261685136
ECS,23249955211795
ECU,79276664000
EGY,235989672978
EMU,13623185516340
ERI,2065001626
ESP,1478772824224
EST,23391530006
ETH,31952763089
EUU,15744157300203
FCS,1453117436184
FIN,275243697751
FJI,3774530616
FRA,2861408170265
FRO,2490807831
FSM,311301600
GAB,18210308748
GBR,2659310054646
GEO,15107441447
GHA,39337314810
GIB,1848660000
GIN,6785137173
GMB,1409694554
GNB,1099818652
GNQ,21357344847
GRC,287797821676
GRD,778655925.9
GRL,2684467376
GTM,47654783852
GUM,4928000000
GUY,3691384743
HIC,49211742295134
HKG,248513617677
HND,17710315006
HPC,546434357935
HRV,62537851352
HTI,13008748132
HUN,141759722464
IBD,23645033386794
IBT,25307796387400
IDA,1664987161327
IDB,804396356885
IDN,892969107923
IDX,853829332625
IMN,6566098382
IND,1823050405350
IRL,237472361734
IRN,580764902917
IRQ,185470085470
ISL,15158548263
ISR,261468634287
ITA,2291991045770
JAM,14444655300
JOR,29524149165
JPN,6157459594824
KAZ,192626507972
KEN,41953433591
KGZ,6197766119
KHM,12829541141
KIR,181705002.6
KNA,817759259.3
KOR,1253223044719
KWT,154068115942
LAC,5592263150708
LAO,8749241114
LBN,39927125961
LBR,2398000000
LBY,34699395524
LCA,1576988407
LCN,6087457540728
LDC,777974900640
LIC,427682679501
LIE,5739977477
LKA,65292753005
LMC,4422887680135
LMY,24257492259031
LSO,2622336148
LTE,16458769415924
LTU,43582248870
LUX,60004630234
LVA,28619991392
MAC,36709860068
MAR,101370474295
MCO,6088808463
MDA,8414360656
MDG,11551821062
MDV,2774351760
MEA,3280524945926
MEX,1180489601958
MHL,174332100
MIC,23825657402235
MKD,10494632699
MLI,12995074801
MLT,9638916472
MMR,59977326086
MNA,1566916852596
MNE,4544575152
MNG,10409797649
MNP,733000000
MOZ,14381552433
MRT,6764635687
MUS,11518393367
MWI,8004000737
MYS,297951960784
NAC,17337541701048
NAM,12343501808
NCL,9792475000
NER,8772951262
NGA,404993594134
NIC,9774262742
NLD,904085980796
NOR,498283438454
NPL,18913574371
NRU,66055407.67
NZL,168510189201
OED,48451045338401
OMN,67872692582
OSS,396955486137
PAK,213587413184
PAN,34686200000
PER,171761737047
PHL,234216730704
PLW,196911100
PNG,17984910496
POL,528301269070
PRE,1181588267637
PRI,100351700000
PRK,441969000000
PRT,244797226567
PRY,33715524704
PSE,11186100000
PSS,7737574651
PST,45663523980497
PYF,6826299000
QAT,167775268614
ROU,183326740143
RUS,2045925608274
RWA,6884889636
SAS,2271837830663
SAU,671238840108
SDN,57060450038
SEN,17902207622
SGP,279351168707
SLB,1049952233
SLE,2942546781
SLV,20283790000
SMR,1813752784
SOM,3499000000
SRB,49258136129
SSA,1541363847367
SSD,14907308933
SSF,1553945789839
SST,474361335043
STP,231488665.2
SUR,4422276622
SVK,99122802874
SVN,51516366655
SWE,574094112973
SWZ,4820499497
SXM,936089385.5
SYC,1065826670
SYR,67293000000
TCA,728789600
TCD,12172309523
TEA,9601739619658
TEC,4434427545701
TGO,3872459250
THA,370819140947
TJK,6522732203
TKM,29233333333
TLA,5885562189741
TLS,1054725400
TMN,1555699890933
TON,414523388.5
TSA,2271837830663
TSS,1553945789839
TTO,25433011405
TUN,45810626509
TUR,838785707000
TUV,38711810.21
TZA,34657139495
UGA,27752712167
UKR,163159671670
UMC,19402769722100
URY,47962439303
USA,15542581104000
UZB,56516280748
VCT,676129629.6
VEN,316482190800
VGB,979072787
VIR,4239000000
VNM,135539438560
VUT,792149700.7
WLD,73460345663712
WSM,737401692.2
XKX,6701698218
YEM,32726417212
ZAF,416418874936
ZMB,23459515276
ZWE,14101920300
