country_iso3,population
AFG,30117411
ALB,2905195
DZA,36661438
ASM,55755
AND,83748
AGO,24220660
ATG,89250
ARG,41261490
ARM,2876536
ABW,102050
AUS,22340024
AUT,8391643
AZE,9173082
BHS,359583
BHR,1278153
BGD,149273134
BRB,282987
BLR,9473172
BEL,11038264
BLZ,330236
BEN,9460829
BMU,64564
BTN,693297
BOL,10212951
BIH,3661173
BWA,2015406
BRA,197514541
VGB,28326
BRN,393687
BGR,7348328
BFA,16081915
BDI,8958406
CPV,498858
KHM,14541421
CMR,20906392
CAN,34339328
CYM,57877
CAF,4418639
TCD,12360986
CHI,160990
CHL,17233584
CHN,1344130000
COL,45662747
COM,706578
COD,66755151
COG,4394842
CRI,4633086
CIV,21028652
HRV,4280622
CUB,11236671
CUW,150831
CYP,1124837
CZE,10496088
DNK,5570572
DJI,853671
DMA,70912
DOM,9813219
ECU,15243885
EGY,84529251
SLV,6210567
GNQ,986861
ERI,3213969
EST,1327439
ETH,90139928
FRO,47815
FJI,863451
FIN,5388272
FRA,65342789
PYF,267702
GAB,1684629
GMB,1848142
GEO,3756441
DEU,80274983
GHA,25387713
GIB,33608
GRC,11104899
GRL,56890
GRD,106786
GUM,159690
GTM,14521515
GIN,10420459
GNB,1562996
GUY,752029
HTI,10100320
HND,8480670
HKG,7071600
HUN,9971727
ISL,319014
IND,1250287939
IDN,245115988
IRN,74634959
IRQ,30725305
IRL,4580084
IMN,84889
ISR,7765800
ITA,59379449
JAM,2825932
JPN,127833000
JOR,7662858
KAZ,16557202
KEN,43178270
KIR,104735
PRK,24673392
KOR,49936638
XKX,1791000
KWT,3168054
KGZ,5514600
LAO,6347564
LVA,2059709
LBN,5202022
LSO,2003793
LBR,4017446
LBY,6247438
LIE,36299
LTU,3028115
LUX,518347
MAC,550833
MKD,2072484
MDG,21743970
MWI,14962118
MYS,28650962
MDV,380493
MLI,15514593
MLT,416268
MHL,56524
MRT,3598646
MUS,1252404
MEX,115695468
FSM,103448
MDA,2859833
MCO,36025
MNG,2770357
MNE,620079
MAR,32781860
MOZ,24187500
MMR,50990612
NAM,2156698
NRU,10069
NPL,27041220
NLD,16693074
NCL,254350
NZL,4384000
NIC,5903035
NER,17114770
NGA,162805080
MNP,54013
NOR,4953088
OMN,3251102
PAK,183340168
PLW,17748
PAN,3706479
PNG,7472196
PRY,6333981
PER,29264314
PHL,95570049
POL,38063255
PRT,10557560
PRI,3678732
QAT,2035862
ROU,20147528
RUS,142960908
RWA,10293333
WSM,187469
SMR,31655
STP,184521
SAU,28267591
SEN,13033814
SRB,7234099
SYC,87441
SLE,6563238
SGP,5183688
SXM,33435
SVK,5398384
SVN,2052843
SLB,541522
SOM,12376305
ZAF,52003759
SSD,9830695
ESP,46742697
LKA,20398496
KNA,49442
LCA,175538
MAF,37451
VCT,108315
SDN,35349676
SUR,535177
SWZ,1072029
SWE,9449213
CHE,7912398
SYR,21081814
TJK,7697507
TZA,45673520
THA,67518379
TLS,1113154
TGO,6595939
TON,103558
TTO,1336180
TUN,10741872
TUR,73443254
TKM,5174076
TCA,33371
TUV,10626
UGA,33476772
UKR,45706086
ARE,8946778
GBR,63258810
USA,311583481
URY,3368926
UZB,29339400
VUT,242658
VEN,28887873
VNM,88871384
VIR,108290
PSE,3882986
YEM,23807586
ZMB,14023199
ZWE,12894323
