country_iso3,langoff_1,merchandise_of_gdp,agriculture_forestry_fishing_of_gdp,net_barter_of_trade,industry_of_gdp,gdp_per_capita,inflation_rate,foreign_direct_investment_inflows,population,gdp_growth,continent,landlocked,area,gdp_us_dollar
AFG,Persian,38.7041485662647,23.7436639877543,144.7518695,22.7402524820273,591.162798293135,11.8041858089129,52173421.0,30117411,0.4263547929,Asia,1,652225,17804292964.0
AGO,Portuguese,78.3059714796182,5.84568096888111,244.3291519,56.026514743024,4615.46821863819,13.4824679218512,-3023770965.83688,24220660,3.471976345,Africa,0,1246700,111789686464.0
ALB,Albanian,56.8624113125754,18.2267654155688,94.33720177,24.484407516121,4437.14288515077,3.42912324722164,1048706682.05458,2905195,2.545321845,Europe,0,28748,12890765324.0
ARE,Arabic,151.702461172787,0.671910149003627,176.1497815,58.0355992952437,39194.672239975,0.877346595685083,7152095825.6,8946778,6.930271629,Asia,0,83657,350666031314.0
ARG,Spanish,29.8719291780486,6.99873377022519,160.564925,25.2126976058843,12848.8641969705,9.8,10839930944.6815,41261490,6.003951693,America,0,2766889,530163281575.0
ARM,Armenian,54.0222821392664,17.5,128.2433543,27.5,3525.80719813557,7.6500080785929,653219756.47225,2876536,4.699999999,Asia,1,29800,10142111334.0
ATG,English,42.7201281408508,1.93318183889934,68.37541426,14.5307687799923,12746.6334682021,3.45674967234602,65160596.2962963,89250,-1.958612628,America,0,442,1137637037.0
AUS,English,36.9050252078536,2.27654236627696,200.2885825,26.4361276332007,62517.8337471503,3.30385015608744,65554890649.5348,22340024,2.462756312,Pacific,0,7686848,1396649906339.0
AUT,German,85.5550043383505,1.40191493427276,88.72963314,25.4474320432043,51374.9584066934,3.28657914875376,22983942931.9264,8391643,2.922797284,Europe,1,83858,431120310089.0
AZE,Azeri,67.7178136400292,5.07622595138436,199.3036857,61.7339963903076,7189.69122920765,7.85833333333332,4485120000.0,9173082,-1.572997621,Asia,1,86600,65951627200.0
BDI,French,39.1355155379094,36.7045760044036,164.5119637,14.8096813161324,249.577972769836,9.59216605979671,3354999.1805922,8958406,4.032602496,Africa,1,27834,2235820868.0
BEL,Dutch,180.354554932841,0.648034219951815,94.86824368,20.7778964049581,47348.5250202016,3.53208210722744,163624381384.585,11038264,1.694513899,Europe,0,33114,522645519184.0
BEN,French,33.0954235595754,25.7970008253273,137.2188236,18.1374491115974,1130.27318959427,2.70423907747279,161302390.821902,9460829,2.963752919,Africa,0,112622,10693321954.0
BFA,French,39.7755133137476,23.043650452489,139.8371615,28.3722709055706,751.172770411005,2.7597672485453,143845512.327138,16081915,6.622562613,Africa,1,274200,12080296644.0
BGD,Bengali,47.1501647240183,16.8099867573503,57.47437649,25.0452996007551,861.762162181077,11.3951651552399,1264725163.33408,149273134,6.464379123,Asia,0,143998,128637938711.0
BGR,Bulgarian,105.931360066023,4.64163500145713,106.992395,25.0746261038118,7809.42506245471,4.21990346601875,2103810000.0,7348328,2.354556923,Europe,0,110994,57386216850.0
BHR,Arabic,112.521996303142,0.290850277264325,138.7356468,49.5171903881701,22514.202716483,-0.400040697488052,780851063.829787,1278153,1.983515012,Asia,0,678,28776595745.0
BHS,English,37.7341628229126,1.09230471329484,86.37412316,12.0451419747876,28005.9124040903,3.19878141660321,666621000.0,359583,0.6133841584,America,0,13939,10070450000.0
BIH,Serbo-Croatian,90.6476283908872,6.75774577677582,101.9771048,22.1932593254568,5092.55472521264,3.67124999999999,471610992.220788,3661173,0.9595112472,Europe,0,51233,18644723861.0
BLR,Belarussian,141.161141759833,8.00175755504565,110.2279572,36.0887890771209,6519.23019498892,53.2286983118173,4002400000.0,9473172,5.37870745,Europe,0,207595,61757788945.0
BLZ,English,98.2339854693831,11.6504472331031,96.97659255,20.0198627609372,4423.4968423614,1.7,95348525.1917313,330236,1.922034605,America,0,22963,1460800000.0
BOL,Spanish,67.958841888504,9.7695858816954,181.1220112,30.3691066361261,2346.3378439235,9.88446419823887,858941070.400943,10212951,5.204092308,America,1,1098581,23963033431.0
BRA,Portuguese,18.8442708987175,4.34203511988559,134.179349,23.102056242361,13245.6120301146,6.63644962213085,102427228231.42,197514541,3.974425406,America,0,8511920,2616200980392.0
BRN,Malay,86.8756924001202,0.575033257520491,226.0161692,73.672917650088,47055.960643203,0.137911563169595,691170274.5029,393687,3.745318352,Asia,0,5765,18525319978.0
BTN,Burmese,96.674285471351,14.2955525913407,134.9239256,41.9767059830459,2563.261223801,8.84898569946799,31141614.8601365,693297,7.982617041,Asia,1,46620,1777101317.0
BWA,English,85.6828014704467,2.51091768009965,82.76717855,35.0464653041146,7617.31004132551,8.45987233408587,293208060.474684,2015406,6.048361455,Africa,1,600372,15351972361.0
CAF,French,20.5087590921589,37.5690227836114,76.73652007,26.6383554299084,551.749691833885,1.19447572449849,36908455.8896,4418639,4.194615337,Africa,1,622984,2437982840.0
CAN,English,51.0211014884086,1.76566446625627,117.8183923,27.1393405983891,52223.696112356,2.91213508872355,38338330427.428,34339328,3.146881372,America,0,9976139,1788647906048.0
CHE,German,61.3594923573866,0.670935894205478,103.6055837,25.2795684493631,91254.0347609687,0.231349207650894,20764483834.5029,7912398,1.692808513,Europe,1,41288,699579638413.0
