source,target,weight
AGO,TUR,59.644
AGO,RUS,65.798
AGO,MYS,947.906
ALB,ARM,25.896
ALB,MDA,15.423
ALB,MWI,3.963
ALB,GHA,2.95
ALB,AZE,5.497000000000001
ALB,ZAF,3.446
ALB,ECU,19.974
ALB,IRN,3.332
ALB,VCT,6.556
ALB,GAB,28.258
ALB,NPL,0.516
ALB,GTM,10.177
ALB,PER,12.113
ALB,FIN,24.928
ALB,MEX,13.344
ALB,SLE,9.127
ALB,MRT,18.315
ALB,COL,0.321
ALB,PHL,1.587
ALB,NGA,20.871
ALB,TJK,32.41
ALB,VNM,1.993
ALB,AFG,0.278
ALB,EST,20.607
ALB,MYS,2.489
ALB,BGD,3.051
ALB,SGP,0.414
ALB,COG,12.414
ALB,GEO,32.492000000000004
ARE,BOL,732.1163032596602
ARE,LAO,488.49622292966
ARE,PLW,88.49119329599999
ARE,MKD,770.23271717524
ARE,KNA,42.2794433622
ARE,ATG,21.11308043614
ARE,BTN,6.300243269100001
ARE,GRD,30.9851919861
ARE,TON,75.16799219182
ARE,BHS,110.22077457754
ARE,LCA,48.98251020607999
ARE,HND,757.0810122781402
ARE,DMA,0.17974671528
ARE,PRY,901.221118237
ARE,GUY,421.5287294218
ARE,KIR,51.2826674811
ARE,JAM,817.66658520866
ARE,LSO,38.81555871292
ARG,GNB,228.245
ARG,MLT,748.403
ARG,GMB,665.0
ARG,ZMB,449.433
ARG,FJI,718.555
ARG,PNG,147.9
ARG,ATG,518.042
ARG,RWA,62.88
ARG,SYC,536.742
ARG,BTN,13.693
ARG,VCT,607.9259999999999
ARG,MDV,815.0000000000001
ARG,GIN,725.905
ARG,KGZ,254.494
ARG,GRD,335.806
ARG,MNG,376.33900000000006
ARG,LCA,652.854
ARG,BDI,9.95
ARG,BFA,828.219
ARG,TJK,42.167
ARG,TKM,155.483
ARG,AFG,165.171
ARM,ZAF,15.989
ARM,DNK,3.503
ARM,TTO,0.002
ARM,MOZ,7.6
ARM,CYP,14.79
ARM,MNG,0.221
ARM,IRL,4.425
ARM,BHR,22.14
ARM,PAK,6.0
ARM,NGA,0.08
ARM,ARG,0.2
ARM,PAN,5.75
ARM,VNM,0.001
ARM,YEM,15.862
ATG,GHA,0.304
ATG,QAT,0.241
ATG,ALB,0.407
ATG,MRT,0.222
AUS,BOL,1975.88
AUS,MDA,1711.573
AUS,HRV,1126.178
AUS,PLW,595.5709999999999
AUS,NIC,1037.144
AUS,MKD,489.371
AUS,COM,85.52000000000001
AUS,GMB,16.911
AUS,KNA,352.95
AUS,GNQ,76.905
AUS,ATG,1681.251
AUS,BIH,983.44
AUS,BTN,159.90699999999998
AUS,VCT,142.381
AUS,ETH,2153.9900000000007
AUS,SVK,1246.7760000000003
AUS,KGZ,1442.4019999999996
