country_iso3,foreign_direct_investment_inflows
AFG,48311346.0
ALB,1254150556.0
DZA,1691886708.0
AGO,-7120017424.0
ATG,134288999.6
ARG,9821661858.0
ARM,346092394.4
ABW,226371388.8
AUS,53997299140.0
AUT,451107665.2
AZE,2619437000.0
BHS,382252000.0
BHR,3727712766.0
BGD,2602962095.0
BRB,104089451.2
BLR,2246100000.0
BEL,-29640924980.0
BLZ,92247730.94
BEN,360343380.3
BMU,54904045.83
BTN,20433631.07
BOL,1749612614.0
BIH,313295008.3
BWA,67136806.16
BRA,75211029129.0
VGB,113423720000.0
BRN,775641999.1
BGR,1989040000.0
BFA,490403410.5
BDI,116727136.5
CPV,89297444.0
KHM,2068470774.0
CMR,547404749.8
CAN,67027866778.0
CYM,68000092000.0
CAF,1852792.612
TCD,520200751.3
CHL,22210440993.0
CHN,290928431467.0
COL,16210419016.0
COM,4231644.417
COD,1697585831.0
COG,1878325499.0
CRI,3205384977.0
CIV,407592122.1
HRV,937309759.6
CUW,-1508379.888
CYP,25966316071.0
CZE,7357578653.0
DNK,680338945.9
DJI,286004467.7
DMA,17915757.41
DOM,1599900000.0
ECU,727081206.3
EGY,4192200000.0
SLV,245179098.3
GNQ,582948701.9
ERI,43859000.0
EST,1097942107.0
ETH,1343876024.0
FJI,243782754.0
FIN,-4940676481.0
FRA,31589283791.0
PYF,99207173.35
GAB,324032442.4
GMB,68340322.38
GEO,1046562195.0
DEU,67199694459.0
GHA,3227000000.0
GRC,2945271845.0
GRD,74688413.33
GTM,1522143500.0
GIN,190000.0
GNB,19639703.8
GUY,200558390.0
HTI,161918586.3
HND,1069029263.0
HKG,76857453418.0
HUN,-3586600505.0
ISL,472607545.8
IND,28153031270.0
IDN,23281742362.0
IRN,3049945000.0
IRQ,-2335300000.0
IRL,70811172728.0
ISR,11842200000.0
ITA,19531411962.0
JAM,544747561.8
JPN,10648441636.0
JOR,1946597204.0
KAZ,10011293285.0
KEN,1118819097.0
KIR,838137.9532
PRK,119008000.0
KOR,12766600000.0
XKX,371492237.3
KWT,1433630444.0
KGZ,612016900.0
LAO,681397257.1
LVA,989283879.4
LBN,2661087128.0
LSO,50429031.34
LBR,1998675366.0
LBY,702000000.0
LIE,1154916692.0
LTU,768657972.0
LUX,16007703035.0
MAC,3774560564.0
MKD,402458309.8
MDG,565848886.0
MWI,451362406.6
MYS,11296279514.0
MDV,360816336.2
MLI,307853389.3
MLT,510057778.1
MHL,32548149.32
MRT,1126004760.0
MUS,293369157.1
MEX,50791028233.0
FSM,0.0
MDA,241880000.0
MNG,2059702973.0
MNE,446456998.0
MAR,3360909924.0
MOZ,6697422432.0
MMR,2254603965.0
NAM,777073646.4
NRU,0.0
NPL,74179632.61
NLD,328677379048.0
NCL,2166812151.0
NZL,-69519935.42
NIC,965100000.0
NER,719338470.5
NGA,5562857987.0
NOR,-1368607171.0
OMN,1612430962.0
PAK,1333000000.0
PLW,18041109.84
PAN,3799000000.0
PNG,26804026.04
PRY,312567000.0
PER,9826002544.0
PHL,3737371740.0
POL,795000000.0
PRT,15745220666.0
QAT,-840384615.4
ROU,3854819398.0
RUS,69218890000.0
RWA,233763793.6
WSM,13791695.17
STP,12162344.82
SAU,8864693333.0
SEN,311366768.8
SRB,2059297317.0
SYC,57289065.62
SLE,429664580.1
SGP,64389514904.0
SXM,47357541.9
SVK,1003901609.0
SVN,104022716.6
SLB,53434351.38
SOM,258000000.0
ZAF,8232518816.0
SSD,-793000000.0
ESP,47373243839.0
LKA,932551317.6
KNA,110789970.4
LCA,83515042.22
VCT,126735013.0
SDN,1687884179.0
SUR,186765030.6
SWZ,81790158.4
SWE,1316837632.0
CHE,-24926465857.0
TJK,283140730.0
TZA,2087261310.0
THA,15935960665.0
TLS,55857105.62
TGO,183599249.0
TON,6269513.29
TTO,-1129966026.0
TUN,1058622582.0
TUR,13563000000.0
TKM,2861420712.0
TUV,337000.0
UGA,1096000000.0
UKR,4509000000.0
ARE,9764914527.0
GBR,54473175400.0
USA,288131000000.0
URY,986930050.6
UZB,691576226.0
VUT,59379212.8
VEN,2145000000.0
VNM,8900000000.0
PSE,189560177.0
YEM,-133570895.6
ZMB,2099800000.0
ZWE,373050000.0
