country_iso3,gdp_per_capita
AFG,637.165464
ALB,4413.060861
DZA,5499.587331
ASM,11450.7242
AND,39540.72481
AGO,5254.881126
ATG,12910.59063
ARG,13080.25473
ARM,3838.17388
ABW,26441.61994
AUS,68150.10704
AUT,50716.70871
AZE,7875.756953
BHS,28784.02449
BHR,24744.29696
BGD,981.8608514
BRB,16451.27931
BLR,7978.872615
BEL,46744.66254
BLZ,4568.641228
BEN,1251.209707
BMU,99471.6389
BTN,2472.724753
BOL,2908.200371
BIH,5131.404646
BWA,7224.912737
BRA,12300.32482
BRN,44740.85942
BGR,7655.129708
BFA,787.4694383
BDI,256.9756471
CPV,3616.03557
KHM,1013.420536
CMR,1465.63871
CAN,52635.17496
CYM,73514.66868
CAF,380.2978928
TCD,979.8117426
CHL,15842.93648
CHN,7050.646271
COL,8218.347844
COM,1505.33722
COD,457.9637475
COG,3883.746848
CRI,10744.09102
CIV,1415.871694
HRV,13674.4178
CUB,6837.71168
CUW,20462.71795
CYP,27729.1927
CZE,20133.16914
DNK,61191.1937
DJI,2312.720948
DMA,7016.380071
DOM,6238.132367
ECU,6056.331213
EGY,3262.657586
SLV,3509.528132
GNQ,20390.73727
EST,19174.10033
ETH,499.5315302
FRO,54843.31929
FJI,4840.72727
FIN,49878.04324
FRA,42592.93539
GAB,9683.58162
GMB,700.5160422
GEO,4623.745725
DEU,46285.76407
GHA,2361.090324
GRC,21749.15248
GRL,47535.58995
GRD,7789.632355
GUM,33656.45357
GTM,3522.773706
GIN,769.0031667
GNB,634.6620391
GUY,5489.142758
HTI,1393.956085
HND,2102.592449
HKG,38403.77771
HUN,13687.51406
ISL,49804.983
IND,1449.610451
IDN,3623.927241
IRN,6018.3229
IRQ,7076.552265
IRL,51577.27936
IMN,83357.13268
ISR,36316.47837
ITA,35549.9747
JAM,4989.734089
JPN,40454.44746
JOR,4044.426869
KAZ,13890.63096
KEN,1210.385435
KIR,1715.813041
KOR,27182.73431
XKX,3891.266363
KWT,49388.05338
KGZ,1282.437162
LAO,1825.665672
LVA,15122.73528
LBN,7933.233249
LSO,1166.911756
LBR,721.9295456
LBY,10363.80425
LIE,173030.2083
LTU,15729.65247
LUX,113625.1329
MAC,89260.7571
MKD,5210.153044
MDG,541.0660586
MWI,348.4298737
MYS,10970.1043
MDV,7928.476443
MLI,805.0339796
MLT,24771.07658
MHL,3246.63025
MRT,1892.094
MUS,9637.015729
MEX,10725.18359
FSM,2994.792394
MDA,3322.038436
MCO,177673.7454
MNG,4366.089537
MNE,7189.295425
MAR,3121.680081
MOZ,664.0775104
MMR,1121.942049
NAM,5392.09494
NRU,9648.495655
NPL,823.3598746
NLD,52184.06185
NZL,42976.64959
NIC,1811.636803
NER,552.569139
NGA,2961.549422
MNP,14091.19118
NOR,102913.4508
OMN,20865.78787
PAK,1208.91771
PLW,12561.33614
PAN,11889.07056
PNG,2729.888751
PRY,5936.975959
PER,6756.752996
PHL,2871.429701
POL,13696.4663
PRT,21647.04181
PRI,28513.16574
QAT,85050.68435
ROU,9547.852151
RUS,15974.64463
RWA,722.8943285
WSM,4037.615168
SMR,51570.98395
STP,1564.768548
SAU,24845.12466
SEN,1372.665779
SRB,6755.073675
SYC,14765.67398
SLE,716.8358269
SGP,56967.42579
SXM,27942.88054
SVK,18260.01577
SVN,23496.6025
SLB,2248.614935
SOM,297.9553578
ZAF,6832.725546
SSD,1779.470365
ESP,29059.54795
LKA,3610.289363
KNA,16685.94759
LCA,9378.985047
VCT,6639.484897
SDN,1381.489462
SUR,9402.164419
SWZ,4230.328486
SWE,61126.9432
CHE,88109.48675
TJK,1048.225602
TZA,970.3996014
THA,6168.261356
TLS,1210.03999
TGO,621.3988536
TON,4428.146521
TTO,20143.54541
TUN,4222.70514
TUR,12614.78161
TKM,7304.285771
TCA,21715.31397
TUV,3457.376266
UGA,806.6119363
UKR,4029.711252
ARE,42412.6395
GBR,43401.31053
USA,53106.53677
URY,16973.68924
UZB,2281.410973
VUT,2954.774511
VEN,12457.7686
VNM,1886.69017
VIR,34820.11459
PSE,3315.297539
YEM,1607.152173
ZMB,1878.346811
ZWE,1429.998461
