country_iso3,life_expectancy
AFG,62.525
ALB,77.554
DZA,75.661
AGO,58.054
ATG,76.218
ARG,75.756
ARM,74.056
ABW,75.441
AUS,82.14878049
AUT,81.13658537
AZE,71.768
BHS,72.62
BHR,76.484
BGD,70.93
BRB,78.633
BLR,72.47073171
BEL,80.58780488
BLZ,73.452
BEN,60.092
BMU,80.57243902
BTN,69.662
BOL,69.468
BIH,76.569
BWA,64.976
BRA,74.483
BRN,75.075
BGR,74.86097561
BFA,58.937
BDI,59.148
CPV,71.661
KHM,67.888
CMR,56.576
CAN,81.74878049
CAF,49.371
TCD,52.386
CHI,82.071
CHL,79.349
CHN,75.321
COL,76.105
COM,62.922
COD,58.381
COG,62.022
CRI,79.234
CIV,54.906
HRV,77.12682927
CUB,78.485
CUW,77.82682927
CYP,79.999
CZE,78.17560976
DNK,80.3
DJI,62.239
DOM,72.763
ECU,75.707
EGY,70.928
SLV,71.935
GNQ,56.642
ERI,63.726
EST,77.14146341
ETH,63.961
FRO,81.34146341
FJI,66.95
FIN,80.97560976
FRA,82.2195122
PYF,76.307
GAB,63.648
GMB,60.426
GEO,72.412
DEU,80.4902439
GHA,62.064
GRC,81.28536585
GRL,71.8304878
GRD,72.579
GUM,78.649
GTM,72.596
GIN,58.447
GNB,56.117
GUY,68.819
HTI,61.658
HND,74.051
HKG,83.83170732
HUN,75.56585366
ISL,82.06097561
IND,67.931
IDN,70.179
IRN,75.162
IRQ,69.437
IRL,80.94878049
ISR,82.05609756
ITA,82.6902439
JAM,74.01
JPN,83.33195122
JOR,73.851
KAZ,70.62
KEN,63.419
KIR,66.69
PRK,70.853
KOR,81.27073171
XKX,70.94390244
KWT,74.885
KGZ,70.20243902
LAO,65.717
LVA,73.98292683
LBN,78.683
LSO,48.663
LBR,61.186
LBY,71.907
LIE,82.26097561
LTU,73.91463415
LUX,81.8
MAC,83.361
MKD,75.171
MDG,64.713
MWI,59.931
MYS,75.072
MDV,77.018
MLI,56.578
MLT,81.74634146
MRT,63.366
MUS,74.01707317
MEX,74.93
FSM,66.986
MDA,70.968
MNG,68.566
MNE,76.089
MAR,75.227
MOZ,54.949
MMR,64.921
NAM,60.513
NPL,68.806
NLD,81.30487805
NCL,77.17804878
NZL,81.40731707
NIC,73.197
NER,59.455
NGA,52.228
NOR,81.75121951
OMN,76.388
PAK,66.117
PAN,77.386
PNG,62.892
PRY,73.274
PER,75.258
PHL,70.315
POL,77.0
PRT,80.72195122
PRI,79.03434146
QAT,79.527
ROU,75.06341463
RUS,70.57878049
RWA,66.219
WSM,72.351
STP,68.695
SAU,74.402
SEN,65.939
SRB,75.18536585
SYC,73.1195122
SLE,51.731
SGP,82.24634146
SVK,76.41219512
SVN,80.32195122
SLB,71.601
SOM,55.104
ZAF,61.099
SSD,56.2
ESP,83.07804878
LKA,75.974
LCA,75.286
MAF,79.02195122
VCT,71.939
SDN,63.875
SUR,71.002
SWZ,51.699
SWE,81.95609756
CHE,82.79756098
SYR,70.049
TJK,69.609
TZA,61.398
THA,75.378
TLS,67.953
TGO,59.16
TON,70.335
TTO,72.582
TUN,75.552
TUR,75.784
TKM,67.375
UGA,59.881
UKR,71.1595122
ARE,76.903
GBR,81.00487805
USA,78.74146341
URY,77.124
UZB,70.41
VUT,69.57
VEN,72.918
VNM,75.006
VIR,78.71707317
PSE,73.17
YEM,66.016
ZMB,59.746
ZWE,56.897
