country_iso3,net_barter_of_trade
AFG,141.4616782
ALB,95.36762977
DZA,283.1411813
ASM,132.2702142
AGO,250.0730995
ATG,60.40094646
ARG,156.4980784
ARM,117.2178455
ABW,110.5874877
AUS,176.8117884
AUT,87.99885103
AZE,204.7015126
BHS,77.82097757
BHR,134.710081
BGD,61.95916945
BRB,114.842975
BLR,116.9938253
BEL,94.14823319
BLZ,91.88191339
BEN,121.3540647
BMU,99.5818938
BTN,118.9365529
BOL,153.9457727
BIH,99.07157657
BWA,81.95856791
BRA,123.774555
VGB,54.67814093
BRN,232.2713891
BGR,106.6868538
BFA,128.3841555
BDI,134.2280884
CPV,95.36835366
KHM,70.01896927
CMR,153.8831113
CAN,116.0515976
CYM,62.71023127
CAF,75.14970891
TCD,218.6156532
CHL,196.4245918
CHN,80.64771598
COL,161.3126843
COM,101.7395736
COD,128.7178601
COG,225.819356
CRI,99.80970158
CIV,144.5788389
HRV,98.62913983
CUB,161.9793926
CYP,92.23766941
CZE,102.1156767
DNK,101.8835426
DJI,106.7327707
DMA,101.3719251
DOM,98.52237738
ECU,168.3016819
EGY,151.3626558
SLV,82.79064662
GNQ,238.0250407
ERI,88.61950028
EST,94.78808227
ETH,133.00678
FRO,100.4196728
FJI,108.7033864
FIN,88.01570225
FRA,88.77700851
PYF,78.93731417
GAB,223.6092229
GMB,103.8923657
GEO,135.4571643
DEU,94.49136722
GHA,178.1367504
GIB,50.35406185
GRC,87.80171712
GRL,75.90617618
GRD,93.62672573
GUM,100.4640749
GTM,229.5897031
GIN,102.5492868
GNB,79.44991418
GUY,118.1209858
HTI,307.6883703
HND,166.52137
HKG,95.73412036
HUN,99.47825403
ISL,82.48618831
IND,92.44597165
IDN,121.8435134
IRN,191.5437929
IRQ,240.305996
IRL,92.77615275
ISR,100.7071701
ITA,96.8993313
JAM,82.73325382
JPN,59.01942646
JOR,77.88197482
KAZ,229.0327983
KEN,87.95314011
KIR,89.89351847
PRK,73.16722387
KOR,51.85720989
KWT,224.9854492
KGZ,120.333212
LAO,98.83709643
LVA,103.2123828
LBN,97.5588339
LSO,76.34357195
LBR,147.4809078
LBY,227.9584707
LTU,94.37229186
LUX,75.01705656
MAC,87.81034811
MKD,88.34576044
MDG,75.82676034
MWI,98.369698
MYS,112.0803835
MDV,89.17690999
MLI,166.3747417
MLT,124.8980825
MHL,107.7518122
MRT,154.8608129
MUS,105.5403196
MEX,114.0374804
FSM,88.46036124
MDA,71.04158724
MNG,177.26127
MAR,122.7638019
MOZ,91.5733563
MMR,111.240099
NAM,122.1256062
NRU,133.0121694
NPL,74.02282225
NLD,91.68568639
NCL,172.5915738
NZL,133.1959429
NIC,253.0259447
NER,191.9523584
NGA,222.9305081
MNP,80.05780218
NOR,159.8438855
OMN,242.4044238
PAK,46.27624777
PLW,85.29197894
PAN,180.2139127
PNG,195.1680967
PRY,112.2413572
PER,185.6778537
PHL,73.519289
POL,98.40365896
PRT,92.08986542
QAT,221.158652
ROU,107.7597105
RUS,189.6202605
RWA,167.6828907
WSM,78.89561431
STP,106.3152713
SAU,143.7710761
SEN,107.9036097
SRB,110.4008549
SYC,83.74135358
SLE,61.0329198
SGP,82.54986751
SVK,90.70497352
SVN,94.49271307
SLB,93.68864712
SOM,100.5925393
ZAF,137.5087277
ESP,89.14745043
LKA,103.0551429
KNA,67.59717218
LCA,96.97758127
VCT,100.6057138
SDN,226.4444416
SUR,131.8043738
SWZ,110.0499102
SWE,91.64289161
CHE,101.5339843
SYR,145.646028
TJK,83.73563893
TZA,143.2200646
THA,94.46624038
TGO,110.259073
TON,100.4373266
TTO,146.3235963
TUN,113.5096329
TUR,90.43068182
TKM,237.7737155
TCA,69.52642119
UGA,107.1976343
UKR,94.5718131
ARE,178.9310193
GBR,101.5199377
USA,95.34050179
URY,110.8299343
UZB,168.0221988
VUT,92.04680039
VEN,458.5744638
VNM,125.9419655
PSE,75.40427212
YEM,175.6305571
ZMB,175.9968672
ZWE,103.326584
