country_iso3,gdp_per_capita,population,continent,net_barter_of_trade,landlocked,agriculture_forestry_fishing_of_gdp,industry_of_gdp,gdp_growth,langoff_1,merchandise_of_gdp,foreign_direct_investment_inflows,inflation_rate,area,gdp_us_dollar
AFG,637.165464,32269592.0,Asia,141.4616782,1,22.81066274,20.44460531,5.600744661,Persian,44.10762764,48311346.0,7.385771784,652225,20561069558.0
AGO,5254.881126,26015786.0,Africa,250.0730995,0,6.50749254,53.36285398,4.954544646,Portuguese,69.18154846,-7120017424.0,8.777814293,1246700,136709862831.0
ALB,4413.060861,2895092.0,Europe,95.36762977,0,19.56517622,23.0613369,1.00198715,Albanian,56.81650436,1254150556.0,1.937620802,28748,12776217195.0
ARE,42412.6395,9197908.0,Asia,178.9310193,0,0.6437630438,55.00612581,5.053345825,Arabic,165.2859551,9764914527.0,1.101118364,83657,390107556161.0
ARG,13080.25473,42202935.0,America,156.4980784,0,6.052918437,24.00588144,2.405323781,Spanish,27.24604172,9821661858.0,10.62,2766889,552025140252.0
ARM,3838.17388,2897593.0,Asia,117.2178455,1,18.43476288,26.70904814,3.3,Armenian,53.56308354,346092394.4,5.789667785,29800,11121465767.0
ATG,12910.59063,91510.0,America,60.40094646,0,2.017298294,15.68226063,-0.6008763967,English,48.41515905,134288999.6,1.059497824,442,1181448148.0
AUS,68150.10704,23128129.0,Pacific,176.8117884,0,2.278906495,25.12798549,2.584897702,English,31.41263033,53997299140.0,2.449888641,7686848,1576184467015.0
AUT,50716.70871,8479823.0,Europe,87.99885103,1,1.254721216,25.52494179,0.0255047122,German,83.34319358,451107665.2,2.000156169,83858,430068712972.0
AZE,7875.756953,9416801.0,Asia,204.7015126,1,5.36626448,57.05441545,5.843415762,Azeri,56.6632773,2619437000.0,2.415717453,86600,74164435946.0
BDI,256.9756471,9540302.0,Africa,134.2280884,1,38.3671082,15.58468197,4.924195261,French,36.91428732,116727136.5,7.937958075,27834,2451625333.0
BEL,46744.66254,11159407.0,Europe,94.14823319,0,0.6811749135,19.87919976,0.4592421929,Dutch,176.4496991,-29640924980.0,1.11309594,33114,521642714408.0
BEN,1251.209707,10004594.0,Africa,121.3540647,0,25.27540464,17.24370929,7.191433721,French,39.87906823,360343380.3,0.4288888889,112622,12517845732.0
BFA,787.4694383,17072791.0,Africa,128.3841555,1,23.64109279,24.09575158,5.792584845,French,49.99144195,490403410.5,0.5337385071,274200,13444301139.0
BGD,981.8608514,152761413.0,Asia,61.95916945,0,15.493278,26.30707016,6.013605658,Bengali,44.13547632,2602962095.0,7.530406409,143998,149990451022.0
BGR,7655.129708,7265115.0,Europe,106.6868538,0,4.482073971,23.21080449,0.3257694362,Bulgarian,114.8638735,1989040000.0,0.8900935409,110994,55615397666.0
BHR,24744.29696,1315029.0,Asia,134.710081,0,0.2747890451,47.94537566,5.41683981,Arabic,98.1177686,3727712766.0,3.300011569,678,32539468085.0
BHS,28784.02449,367162.0,America,77.82097757,0,0.9197229477,12.82597176,-2.678979525,English,38.99360357,382252000.0,1.034670351,13939,10568400000.0
BIH,5131.404646,3542598.0,Europe,99.07157657,0,6.841390006,22.32367869,2.349856663,Serbo-Croatian,87.91702631,313295008.3,-0.09304568383,51233,18178503835.0
BLR,7978.872615,9465997.0,Europe,116.9938253,0,6.809122268,35.90385104,1.003470841,Belarussian,106.2202319,2246100000.0,18.31226104,207595,75527984234.0
BOL,2908.200371,10542375.0,America,153.9457727,1,9.966979477,28.5181929,6.796011241,Spanish,68.47831937,1749612614.0,5.736400237,1098581,30659338880.0
BRA,12300.32482,201035904.0,America,123.774555,0,4.506904938,21.22482871,3.004846305,Portuguese,19.92027748,75211029129.0,6.204310666,8511920,2472806919902.0
BRN,44740.85942,404414.0,Asia,232.2713891,0,0.6846592164,70.02517779,-2.126028517,Malay,83.22726622,775641999.1,0.3892050531,5765,18093829923.0
BTN,2472.724753,710235.0,Asia,118.9365529,1,14.09121578,43.36691194,2.119972633,Burmese,82.73471356,20433631.07,7.006666667,46620,1756215665.0
BWA,7224.912737,2062551.0,Africa,81.95856791,1,2.29859284,31.48264728,11.34339697,English,109.1348259,67136806.16,5.884607071,600372,14901750991.0
CAF,380.2978928,4447945.0,Africa,75.14970891,1,32.25890625,24.19130699,-36.3919771,French,19.44968493,1852792.612,6.98879342,622984,1691544192.0
CAN,52635.17496,35082954.0,America,116.0515976,0,1.894231512,26.61323518,2.329122506,English,50.58465852,67027866778.0,0.9382918978,9976139,1847208522155.0
CHE,88109.48675,8089346.0,Europe,101.5339843,1,0.6564793926,24.95949281,1.852039816,German,95.3157191,-24926465857.0,-0.2173231551,41288,688504173431.0
CHL,15842.93648,17571511.0,America,196.4245918,0,3.381868051,31.1937573,4.045004298,Spanish,56.08181987,22210440993.0,1.78955554,756945,278384345259.0
CHN,7050.646271,1357380000.0,Asia,80.64771598,0,8.942893962,44.17670454,7.766150098,Chinese,43.45682824,290928431467.0,2.621050017,9572378,9570406235660.0
CIV,1415.871694,22087506.0,Africa,144.5788389,0,20.97862591,25.95105232,8.889421302,French,78.44447778,407592122.1,2.581170373,322463,31273074528.0
CMR,1465.63871,22077300.0,Africa,153.8831113,0,13.89889921,27.63050269,5.40426571,French,34.50221218,547404749.8,2.05908684,475442,32357345501.0
COG,3883.746848,4622757.0,Africa,225.819356,0,4.260083078,61.98930708,-0.7124344519,French,104.853518,1878325499.0,4.631616197,342000,17958721572.0
COL,8218.347844,46495492.0,America,161.3126843,0,5.392714954,32.74755529,5.13399352,Spanish,30.93850058,16210419016.0,2.018098479,1141748,382116126449.0
COM,1505.33722,741511.0,Africa,101.7395736,0,30.78986256,11.64828999,4.499874215,Arabic,27.32426204,4231644.417,-4.294873315,1862,1116224161.0
CRI,10744.09102,4742111.0,America,99.80970158,0,4.783350933,21.34497248,2.2690274,Spanish,58.11028554,3205384977.0,5.231336142,51076,49745088112.0
CYP,27729.1927,1143866.0,Europe,92.23766941,0,2.041470818,10.76026424,-6.553078255,Greek,34.86483582,25966316071.0,-0.3993576765,9251,23900872626.0
CZE,20133.16914,10514272.0,Europe,102.1156767,1,2.364771166,32.64607051,-0.04590367355,Czech,144.8057761,7357578653.0,1.438297872,78864,211685616593.0
DEU,46285.76407,80645605.0,Europe,94.49136722,0,0.9426432141,26.78261334,0.4375913031,German,70.35843845,67199694459.0,1.50472098,357325,3732743446219.0
DMA,7016.380071,71019.0,America,101.3719251,0,13.98468857,12.31975621,-0.9999406312,English,47.76274714,17915757.41,-0.04641164688,751,498296296.3
DNK,61191.1937,5614932.0,Europe,101.8835426,0,1.302127587,20.06180735,0.9333409724,Danish,60.62469805,680338945.9,0.7890717801,43094,343584391648.0
DOM,6238.132367,10048226.0,America,98.52237738,0,5.304865946,29.24893357,4.875205089,Spanish,42.3150676,1599900000.0,4.830950967,48734,62682163838.0
DZA,5499.587331,38140135.0,Africa,283.1411813,0,9.851117128,44.25329676,2.8,Arabic,57.21055428,1691886708.0,3.25423911,2381741,209724351222.0
ECU,6056.331213,15707473.0,America,168.3016819,0,8.769342903,37.14612811,4.946511267,Spanish,54.65593018,727081206.3,2.721775777,275716,95129659000.0
EGY,3262.657586,88404652.0,Africa,151.3626558,0,11.2743496,39.88695979,2.185466055,Arabic,33.0051118,4192200000.0,9.469719811,1001449,288434108527.0
ESP,29059.54795,46620045.0,Europe,89.14745043,0,2.622340613,20.27955168,-1.435394259,Spanish,48.60139416,47373243839.0,1.408546292,505954,1354757433213.0
EST,19174.10033,1317997.0,Europe,94.78808227,0,3.068218214,25.1866982,1.346184732,Estonian,137.6417245,1097942107.0,2.78056659,45227,25271406708.0
ETH,499.5315302,95385793.0,Africa,133.00678,1,41.23950553,10.94455699,10.58227005,Amharic,31.5751623,1343876024.0,7.464021929,1127127,47648211133.0
FIN,49878.04324,5438972.0,Europe,88.01570225,0,2.367353331,23.32163605,-0.9016963162,Swedish,56.03215908,-4940676481.0,1.478286157,336593,271285280621.0
FJI,4840.72727,865602.0,Pacific,108.7033864,0,10.11310699,16.33721435,4.73421949,English,93.88700592,243782754.0,2.913541936,18333,4190143206.0
FRA,42592.93539,65998685.0,Europe,88.77700851,0,1.458632177,17.97180129,0.5763266748,French,44.90911043,31589283791.0,0.8637154979,547026,2811077725704.0
GAB,9683.58162,1817070.0,Africa,223.6092229,0,3.329080651,56.60861687,5.638699003,French,78.38826653,324032442.4,0.5054410589,267667,17595745653.0
GBR,43401.31053,64128273.0,Europe,101.5199377,0,0.6447097627,18.93103324,2.139485718,English,43.4353553,54473175400.0,2.291666667,244110,2786022872707.0
GEO,4623.745725,3717668.0,Asia,135.4571643,0,8.61641445,18.512858,3.621305352,Georgian,63.60259014,1046562195.0,-0.5120584109,69700,17189551521.0
GHA,2361.090324,26607641.0,Africa,178.1367504,0,20.36984251,34.08982225,7.312525007,English,49.90525475,3227000000.0,11.66619231,238538,62405374786.0
GIN,769.0031667,10892821.0,Africa,102.5492868,0,17.54527212,29.64071455,3.934784025,French,44.8271828,190000.0,11.88789561,245857,8376613843.0
GMB,700.5160422,1963708.0,Africa,103.8923657,0,26.22212251,11.89469631,2.87276879,English,35.18441762,68340322.38,5.699129896,11295,1375608956.0
GNB,634.6620391,1648259.0,Africa,79.44991418,0,44.13561101,14.42470654,3.255904265,Portuguese,32.11968658,19639703.8,1.207125557,36125,1046087418.0
GNQ,20390.73727,1076412.0,Africa,238.0250407,0,1.19199068,72.44925774,-4.133198501,Spanish,94.78407703,582948701.9,2.948876946,28051,21948835350.0
GRC,21749.15248,10965211.0,Europe,87.80171712,0,3.387648533,15.08221499,-3.241424731,Greek,40.673161,2945271845.0,-0.922168807,131621,239862011052.0
GRD,7789.632355,108172.0,America,93.62672573,0,4.835402519,13.39788331,2.351418773,English,48.06436432,74688413.33,-0.04399978648,345,842620111.1
GTM,3522.773706,15043981.0,America,229.5897031,0,10.3562211,22.95294843,3.6975861,Spanish,51.97131668,1522143500.0,4.343371313,108889,52996540576.0
GUY,5489.142758,759281.0,America,118.1209858,0,25.6475106,25.62806591,3.653407571,English,77.97875604,200558390.0,1.901251819,214970,4167801803.0
HND,2102.592449,8798524.0,America,166.52137,0,12.19112794,25.40931972,2.791559757,Spanish,101.5475371,1069029263.0,5.161898986,112088,18499710128.0
HRV,13674.4178,4255689.0,Europe,98.62913983,0,3.503151488,21.43382123,-0.447092177,Serbo-Croatian,59.59541984,937309759.6,2.216582064,56538,58194069434.0
HTI,1393.956085,10400672.0,America,307.6883703,0,19.2308684,25.93305046,3.085008621,French,30.79718137,161918586.3,4.765024048,27750,14498080023.0
HUN,13687.51406,9893082.0,Europe,99.47825403,1,3.924971576,25.09969324,1.860751624,Hungarian,153.3205783,-3586600505.0,1.73319985,93032,135411698965.0
IDN,3623.927241,251805314.0,Asia,121.8435134,0,13.35669916,42.63567744,5.557263689,Indonesian,40.45712164,23281742362.0,6.412513302,1933658,912524136718.0
IND,1449.610451,1280842119.0,Asia,92.44597165,0,17.14842354,28.40489956,6.386106401,English,42.02271255,28153031270.0,11.06367478,3287590,1856722121395.0
IRL,51577.27936,4623816.0,Europe,92.77615275,0,1.083459012,24.33199535,1.351633847,English,79.15462635,70811172728.0,0.5087148695,70285,238543539441.0
IRN,6018.3229,76481963.0,Asia,191.5437929,0,9.753665091,42.88103081,-0.194073471,Persian,29.83663785,3049945000.0,36.60303552,1648100,460293149324.0
IRQ,7076.552265,33157061.0,Asia,240.305996,0,4.768439716,57.69152679,7.6,Arabic,67.41031674,-2335300000.0,1.879498007,437072,234648370497.0
ISL,49804.983,323764.0,Europe,82.48618831,0,5.855934692,21.14002897,4.13385115,Icelandic,62.12689863,472607545.8,3.872279237,102819,16033517403.0
ISR,36316.47837,8059500.0,Asia,100.7071701,0,1.260969975,20.60137749,4.148054503,Hebrew,47.04901079,11842200000.0,1.576211979,21621,292636164056.0
ITA,35549.9747,60233948.0,Europe,96.8993313,0,2.144589807,21.17245852,-1.841065451,Italian,46.59355805,19531411962.0,1.219993423,301323,2141315327318.0
JAM,4989.734089,2858710.0,America,82.73325382,0,5.970479633,18.09906598,0.5015605832,English,54.57718278,544747561.8,9.341500766,10991,14262589158.0
JOR,4044.426869,8518992.0,Asia,77.88197482,0,3.583018644,25.64065978,2.609947414,Arabic,85.53034059,1946597204.0,4.824623143,91862,34454440181.0
JPN,40454.44746,127445000.0,Asia,59.01942646,0,1.104187087,26.9376337,2.000267841,Japanese,30.03002265,10648441636.0,0.3464403257,377801,5155717056271.0
KAZ,13890.63096,17035551.0,Asia,229.0327983,1,4.50354557,33.69881564,5.999999999,Kazakh,56.41864167,10011293285.0,5.846409173,2717300,236634552078.0
KEN,1210.385435,45519986.0,Africa,87.95314011,0,26.44333406,18.02414707,5.878680567,English,40.31818365,1118819097.0,5.71749357,582646,55096728048.0
KGZ,1282.437162,5719600.0,Asia,120.333212,1,14.63787255,24.84359467,10.91546948,Kyrgyz,110.8107624,612016900.0,6.613752024,198500,7335027592.0
KHM,1013.420536,15026330.0,Asia,70.01896927,0,31.59506243,24.06765417,7.356665149,Khmer,106.5209428,2068470774.0,2.94260016,181035,15227991395.0
KIR,1715.813041,107887.0,Pacific,89.89351847,0,23.04775713,14.472648,4.214773912,English,56.18162,838137.9532,-1.488059085,717,185113921.6
KNA,16685.94759,50328.0,America,67.59717218,0,1.185509266,20.52853955,5.383690734,English,36.31945241,110789970.4,1.10698554,269,839774074.1
KOR,27182.73431,50428893.0,Asia,51.85720989,0,2.099047114,34.44782919,3.164708636,Korean,78.43739167,12766600000.0,1.301377058,99484,1370795199976.0
KWT,49388.05338,3526382.0,Asia,224.9854492,0,0.3551175188,73.09873441,1.149300437,Arabic,82.91344324,1433630444.0,2.682296841,17818,174161142454.0
LAO,1825.665672,6541302.0,Asia,98.83709643,1,17.93049843,30.42770755,8.026300226,Lao,44.75713307,681397257.1,6.371427178,236800,11942230508.0
LBN,7933.233249,5913016.0,Asia,97.5588339,0,3.953061054,16.34163991,3.811023284,Arabic,57.97140361,2661087128.0,4.821019563,10452,46909335135.0
LBR,721.9295456,4248337.0,Africa,147.4809078,0,37.2278448,15.75802739,8.704028066,English,55.72220411,1998675366.0,7.577306817,111369,3067000000.0
LBY,10363.80425,6320350.0,Africa,227.9584707,0,1.0,80.0,-13.59999997,Arabic,111.4729779,702000000.0,2.605818027,1759540,65502870174.0
LCA,9378.985047,177505.0,America,96.97758127,0,2.627912422,10.52857736,-3.174377604,English,47.69293704,83515042.22,1.472018389,617,1664816741.0
