country_iso3,gni_atlas
AFG,20583397306.0
ALB,12634903056.0
DZA,192632629824.0
AGO,125915232845.0
ATG,1202388805.0
ARG,542376272990.0
ARM,11738591730.0
ABW,2770959446.0
AUS,1440831947977.0
AUT,410097061082.0
AZE,63361890935.0
BHS,10628394289.0
BHR,30981591728.0
BGD,191313721798.0
BRB,4490614013.0
BLR,63692079404.0
BEL,513436078693.0
BLZ,1589051065.0
BEN,12462818466.0
BMU,6596440015.0
BTN,1836530512.0
BOL,32208419843.0
BIH,17875177017.0
BWA,14509108459.0
BRA,2084231874786.0
BRN,16120516072.0
BGR,53478773821.0
BFA,12719827980.0
BDI,2651125130.0
CPV,1686241814.0
KHM,16473666931.0
CMR,33536521306.0
CAN,1698929088158.0
CYM,2738988817.0
CAF,1802704235.0
TCD,12409756902.0
CHL,253957548411.0
CHN,10894017914388.0
COL,348117629919.0
COM,1075497011.0
COD,34874333843.0
COG,15020025479.0
CRI,51883343331.0
CIV,38628195573.0
HRV,54510226956.0
CUB,81915785583.0
CUW,3099791550.0
CYP,22024989999.0
CZE,193691702088.0
DNK,343918872262.0
DJI,2495548143.0
DMA,491991065.1
DOM,67656035528.0
ECU,96835408268.0
EGY,309136456238.0
SLV,21762897192.0
GNQ,12677723819.0
EST,24576410253.0
ETH,60070079523.0
FJI,4432108295.0
FIN,258353238034.0
FRA,2735457494222.0
GAB,15530344475.0
GMB,1302539399.0
GEO,16438279019.0
DEU,3737562278185.0
GHA,54167612780.0
GRC,217931398869.0
GRD,849567782.8
GTM,57670223800.0
GIN,8703469933.0
GNB,1106352161.0
GUY,4197318907.0
HTI,14867161982.0
HND,18753392992.0
HKG,300223263562.0
HUN,130457344524.0
ISL,16521359936.0
IND,2097598587510.0
IDN,886547499338.0
IRN,421205376995.0
IRQ,206205803442.0
IRL,236948726474.0
IMN,6990841851.0
ISR,302224752770.0
ITA,2002706187959.0
JAM,13596589067.0
JPN,4937689540395.0
JOR,36645816287.0
KAZ,199694739814.0
KEN,61710627444.0
KIR,385304522.6
KOR,1465056826482.0
XKX,7172508935.0
KWT,160401037548.0
KGZ,7025882290.0
LAO,13309789821.0
LVA,29859390878.0
LBN,47550775519.0
LSO,2703487555.0
LBR,2818825281.0
LBY,36509875064.0
LTU,44106768545.0
LUX,41281223686.0
MAC,37386930780.0
MKD,10618386779.0
MDG,11861271031.0
MWI,5892246199.0
MYS,323144264205.0
MDV,3478452306.0
MLI,13887598774.0
MLT,11229198480.0
MHL,244383059.3
MRT,6650490403.0
MUS,13505311227.0
MEX,1238464109255.0
FSM,380262431.0
MDA,9343923476.0
MNG,11463724094.0
MNE,4514501938.0
MAR,106341535371.0
MOZ,17393581960.0
MMR,60877507502.0
NAM,12290646804.0
NRU,142028150.5
NPL,24128371395.0
NLD,843849525818.0
NZL,187373298568.0
NIC,11767998534.0
NER,11118913973.0
NGA,511128254895.0
NOR,482081719703.0
OMN,74458670930.0
PAK,251658936034.0
PLW,280229279.7
PAN,48416666226.0
PNG,23185341735.0
PRY,37707883331.0
PER,193153097129.0
PHL,345550500523.0
POL,505436775261.0
PRT,211757911951.0
PRI,67441254457.0
QAT,188422945061.0
ROU,190181948499.0
RUS,1725234228654.0
RWA,8553002584.0
WSM,766219862.3
STP,329641153.5
SAU,752172439560.0
SEN,19230447946.0
SRB,42314096908.0
SYC,1309604878.0
SLE,3979817204.0
SGP,294239182789.0
SXM,1147588806.0
SVK,95851498574.0
SVN,45917838687.0
SLB,1282901404.0
SOM,4003585545.0
ZAF,335223128368.0
SSD,11669227567.0
ESP,1320407329197.0
LKA,78752855988.0
KNA,840369420.1
LCA,1565236740.0
VCT,715742254.1
SDN,59957412801.0
SUR,4971045280.0
SWZ,4191638061.0
SWE,572426384655.0
CHE,735021793618.0
TJK,10653316640.0
TZA,48965141489.0
THA,392055010604.0
TLS,2634955139.0
TGO,4688315235.0
TON,447038248.7
TTO,25914722369.0
TUN,44321922452.0
TUR,944503328288.0
TKM,39142691113.0
TCA,918533200.4
TUV,60397564.39
UGA,31764483699.0
UKR,113647423249.0
ARE,397053277787.0
GBR,2887063766185.0
USA,18200095600169.0
URY,53308826213.0
UZB,81442291187.0
VUT,754625322.3
VNM,182493096779.0
PSE,15666018699.0
YEM,31729635513.0
ZMB,25049360275.0
ZWE,17668504937.0
