country_iso3,inflation_rate,landlocked,gdp_per_capita,area,merchandise_of_gdp,net_barter_of_trade,industry_of_gdp,agriculture_forestry_fishing_of_gdp,gdp_growth,foreign_direct_investment_inflows,langoff_1,gdp_us_dollar,continent,population
AFG,-0.6617091647,1,578.4663529,652225,41.66350318,152.2335065,22.12404249,20.63432272,1.451314655,169146608.0,Persian,19907111419.0,Asia,34413603.0
AGO,9.150372075,0,4166.979833,1246700,46.36570106,137.4660466,41.93309265,9.122534471,0.9435715613,10028215163.0,Portuguese,116193649124.0,Africa,27884380.0
ALB,3.501208355,0,3952.801215,28748,54.61564884,92.65394254,21.76366248,19.78022452,2.218752232,989578334.8,Albanian,11386846319.0,Europe,2880703.0
ARE,4.069966084,0,38663.4005,83657,157.4528904,148.5987821,43.89381417,0.7409992465,5.105936984,8550901847.0,Arabic,358135057862.0,Asia,9262896.0
ARG,15.0,0,13789.06042,2766889,19.67030526,146.3443414,23.15305614,5.156685902,2.731159828,11758994011.0,Spanish,594749285413.0,America,43131966.0
ARM,3.731691193,1,3607.289299,29800,44.76308962,118.5089449,25.70869944,17.22312003,3.199999999,184127986.3,Armenian,10553337673.0,Asia,2925559.0
ATG,0.9689934588,0,14285.32978,442,38.52793102,55.89818757,16.45797948,1.612326721,3.825293099,114024660.1,English,1336692593.0,America,93571.0
AUS,1.508366722,0,56755.72171,7686848,29.31025843,148.1965091,23.64420556,2.372644114,2.192647426,46892808568.0,English,1351693984525.0,Pacific,23815995.0
AUT,0.8965633353,1,44178.04738,83858,80.86951141,88.49922641,25.17491325,1.129790194,1.014501586,-7975773544.0,German,381817565894.0,Europe,8642699.0
AZE,4.027685737,1,5500.310382,86600,48.62799081,119.8082918,44.89132034,6.177638838,1.049546368,4047630000.0,Azeri,53074370486.0,Asia,9649341.0
BDI,5.544688913,1,305.549646,27834,31.50372506,145.5109372,11.76494577,30.68083011,-3.900003086,49622865.77,French,3104394858.0,Africa,10160034.0
BEL,0.5614291528,0,40991.80814,33114,167.1257245,95.64220047,19.66988832,0.6864147805,2.041459009,-19514245855.0,Dutch,462149679344.0,Europe,11274196.0
BEN,0.2187859235,0,1076.796702,112622,37.25799101,119.5880978,16.38509544,26.39208509,1.77815106,149755663.3,French,11388160958.0,Africa,10575962.0
