source,target,weight
GHA,ESP,213181.19257123492
GHA,NLD,884608.5009948488
GHA,CHE,1660098.1991517833
GHA,FRA,261795.32520380657
GHA,ARE,800769.2455450955
GHA,BRA,193883.19343970213
GHA,USA,407970.0729666012
GHA,BFA,490656.6458116048
GHA,CAN,287370.5399582288
GHA,MYS,454298.02545398095
GHA,IND,2689424.006222758
GHA,DEU,233065.9671756281
GHA,VNM,223705.8217054926
GHA,CHN,2381361.0849918234
GHA,GBR,329469.63300423144
GHA,ZAF,910266.1394716412
GHA,TGO,194451.3779605052
HRV,POL,223076.533
HRV,SVN,1688851.9909999997
HRV,ESP,241402.746
HRV,NLD,184474.52
HRV,CZE,277925.30600000016
HRV,FRA,409697.2060000002
HRV,ITA,2140584.8660000004
HRV,RUS,200934.95000000004
HRV,USA,605925.3229999997
HRV,AUT,984827.7599999998
HRV,BEL,274748.801
HRV,DEU,1938982.009
HRV,HUN,523767.978
HRV,BIH,1536672.7589999998
HRV,GBR,225124.787
HRV,SVK,182448.053
MWI,BEL,194116.338951968
KGZ,CHE,489262.64100000006
KGZ,RUS,265166.27300000004
KGZ,KAZ,264964.5069999999
KGZ,GBR,191165.889
ETH,USA,218794.12092048628
ETH,CHN,287643.7534077286
IRN,IDN,645332.624
IRN,ESP,182781.555
IRN,OMN,520443.7310000001
IRN,KOR,4380132.313999999
IRN,KWT,248015.633
IRN,TKM,413702.87800000014
IRN,TUR,3989965.9670000006
IRN,THA,728408.5340000002
IRN,AFG,2777971.5860000006
IRN,ITA,422895.696
IRN,ARM,204688.753
IRN,ARE,6693678.981000003
IRN,RUS,285491.399
IRN,TJK,215864.35600000023
IRN,AZE,321008.864
IRN,MYS,204987.675
IRN,IND,2713950.48
IRN,EGY,256877.598
IRN,DEU,352542.985
IRN,VNM,364133.41
IRN,CHN,9064630.771
IRN,QAT,248255.09499999988
IRN,JPN,425217.441
IRN,PAK,921835.5220000002
IRN,IRQ,6310173.333
POL,HRV,769487.2580000001
POL,BHS,304914.9150000001
POL,MDA,195229.62300000005
POL,EST,1234451.859000001
POL,BLR,1481965.6550000007
POL,SVN,863497.3469999994
POL,ESP,6074261.926
POL,KOR,544003.4480000001
POL,NLD,9585823.217999998
POL,SWE,6038310.277000001
POL,CZE,14051780.541000005
POL,UKR,4609849.198000002
POL,CHE,2174679.0930000003
POL,FRA,12342547.879000008
POL,TUR,3271239.1150000007
POL,THA,265411.63999999984
POL,ITA,10856011.128
POL,MAR,255576.10600000003
POL,NOR,2648669.177
POL,ARE,549554.9039999999
POL,RUS,6945277.890999998
POL,BRA,409039.674
POL,FIN,1735636.4159999995
POL,USA,6138216.395999998
POL,LTU,3041075.729
POL,LVA,1399804.3330000003
POL,GRC,878322.9349999998
POL,CAN,1294766.5609999998
POL,AUT,4225042.247
POL,AUS,714152.2529999998
POL,DZA,360362.451
POL,KAZ,477731.5429999999
POL,IND,736162.6080000002
POL,IRL,876218.024
POL,SGP,241650.21600000004
POL,BGR,1084813.839
POL,EGY,276320.14999999985
POL,BEL,4798334.16
POL,DEU,60209643.52299999
POL,HUN,5800798.030999998
POL,DNK,3942256.9900000007
POL,MEX,675489.5250000001
POL,VNM,276454.738
POL,LUX,349470.216
POL,CHN,2304750.878000001
POL,BIH,274034.25800000003
POL,GBR,14071232.307999998
POL,ZAF,639678.6510000001
POL,ISR,607360.0650000001
POL,JPN,557799.4570000002
POL,PRT,954512.1549999996
POL,SVK,5471194.500999999
POL,SAU,653852.912
IDN,IRN,302328.6398500001
IDN,POL,384791.73503
IDN,ESP,2009173.7186
IDN,LKA,292781.65786999994
IDN,OMN,257433.4638
IDN,TZA,277384.3301
IDN,KOR,8138994.112000002
IDN,NLD,3961829.1285
IDN,UKR,296833.5308
IDN,CHE,1244583.3951099997
IDN,FRA,994382.4735000002
IDN,TUR,1168115.5229300002
IDN,THA,6449249.228030002
IDN,KHM,513822.0368400001
IDN,ITA,1937115.17627
IDN,MMR,829454.1440499997
IDN,NZL,437602.4924600002
IDN,ARE,1629125.394870001
IDN,RUS,1224893.3168
IDN,BRA,1226966.38203
IDN,USA,17667892.76645
IDN,BGD,1596559.6972100004
IDN,ARG,266263.79427
IDN,CAN,821230.5665499999
IDN,AUS,2504742.85937
IDN,DZA,206990.67879
IDN,MYS,8441590.313233
IDN,NGA,343779.14132
IDN,IND,14049965.229380004
IDN,SGP,12708018.092849996
IDN,KEN,290764.16099
IDN,BEN,201124.57958
IDN,EGY,1253584.56335
IDN,BEL,1241153.18538
IDN,DEU,2625439.38932
IDN,DNK,192776.26751
IDN,MEX,969073.1636
IDN,VNM,3587207.5226020003
IDN,CHN,22786668.730312
IDN,PHL,6618245.598159999
IDN,GBR,1406249.5238200005
IDN,ZAF,702539.02019
IDN,JPN,17772655.719527
IDN,PAK,2397975.27284
IDN,SAU,1380103.84514
MDA,ITA,236025.91200000013
MDA,RUS,254537.74500000005
UGA,ARE,444897.78493
UGA,KEN,513873.73939
EST,POL,299979.3311620678
EST,NLD,513403.3788929908
EST,SWE,1845111.936315897
EST,FRA,279990.77508850675
EST,TUR,196513.5504254592
EST,NOR,573776.2260780217
EST,RUS,1574739.680981302
EST,FIN,2103132.939773644
EST,USA,512664.6815691378
EST,LTU,764535.5579438485
EST,LVA,1181947.0837878536
EST,BEL,221322.4906876241
EST,DEU,997774.088914014
EST,DNK,386414.2843261694
EST,CHN,248267.59782839823
EST,GBR,302344.4716229308
BLR,POL,1082241.4999999995
BLR,NLD,1102101.3000000005
BLR,UKR,3355316.4
BLR,RUS,12458537.7
BLR,BRA,439864.0999999999
BLR,USA,224850.7000000002
BLR,LTU,846585.4999999998
BLR,LVA,349150.9999999999
BLR,KAZ,577914.8999999999
BLR,IND,269505.00000000006
BLR,DEU,1102859.4
BLR,CHN,358799.60000000003
BLR,GBR,2381738.9
SVN,HRV,2546556.31458
SVN,POL,981138.235
SVN,ESP,626051.1013100003
SVN,NLD,597857.45234
SVN,SWE,373959.67543
SVN,CZE,773579.57814
SVN,CHE,603085.6660799999
SVN,FRA,1792501.2464499995
SVN,TUR,325127.25652000005
SVN,ITA,3667757.2173800017
SVN,RUS,937213.79268
SVN,USA,625440.6970200001
SVN,MKD,207928.97241
SVN,AUT,2407306.8526599994
SVN,BGR,287092.8398899999
SVN,BEL,430633.33245
SVN,DEU,6439444.74284
SVN,HUN,865367.7561600002
SVN,DNK,344015.7957900002
SVN,CHN,359086.84114000003
SVN,BIH,820242.2556200002
SVN,GBR,608634.2259699998
