target,source
AFG,AUS
AFG,BEL
AFG,BGR
AFG,CAN
AFG,CHN
AFG,CZE
AFG,DNK
AFG,EGY
AFG,FIN
AFG,FRA
AFG,DEU
AFG,HUN
AFG,IND
AFG,IDN
AFG,IRN
AFG,ITA
AFG,JPN
AFG,KAZ
AFG,KOR
AFG,NLD
AFG,NZL
AFG,NOR
AFG,PAK
AFG,POL
AFG,RUS
AFG,SAU
AFG,ESP
AFG,SWE
AFG,TJK
AFG,TUR
AFG,TKM
AFG,ARE
AFG,GBR
AFG,USA
AFG,UZB
ALB,AUT
ALB,BGR
ALB,CHN
ALB,HRV
ALB,CZE
ALB,DNK
ALB,EGY
ALB,FRA
ALB,DEU
ALB,GRC
ALB,HUN
ALB,IRN
ALB,ITA
ALB,KWT
ALB,LBY
ALB,MKD
ALB,NLD
ALB,POL
ALB,RUS
ALB,SAU
ALB,SVN
ALB,ESP
ALB,CHE
ALB,TUR
ALB,GBR
ALB,USA
DZA,AGO
DZA,ARG
DZA,AUT
DZA,BEL
DZA,BEN
DZA,BRA
DZA,BGR
DZA,BFA
DZA,CMR
DZA,CAN
DZA,TCD
DZA,CHL
DZA,CHN
DZA,COG
DZA,HRV
DZA,CZE
DZA,CIV
DZA,EGY
DZA,FIN
DZA,FRA
DZA,GAB
DZA,DEU
DZA,GHA
DZA,GRC
DZA,GIN
DZA,GNB
DZA,HUN
DZA,IND
DZA,IDN
DZA,IRQ
DZA,ITA
DZA,JPN
DZA,JOR
DZA,KOR
DZA,KWT
DZA,LBN
DZA,LBY
DZA,MDG
DZA,MLI
DZA,MRT
DZA,MEX
DZA,MAR
DZA,NLD
DZA,NER
DZA,NGA
DZA,NOR
DZA,OMN
DZA,PAK
DZA,PER
DZA,POL
DZA,PRT
DZA,QAT
DZA,RUS
DZA,SAU
DZA,SEN
DZA,ZAF
DZA,ESP
DZA,SWE
DZA,CHE
DZA,TUN
DZA,TUR
DZA,UKR
DZA,ARE
DZA,GBR
DZA,USA
DZA,VNM
DZA,YEM
AGO,DZA
AGO,ARG
AGO,BEL
AGO,BRA
AGO,CHN
AGO,COG
AGO,COG
AGO,CIV
AGO,EGY
AGO,GNQ
AGO,FRA
AGO,GAB
AGO,DEU
AGO,GHA
AGO,IND
AGO,ISR
AGO,ITA
AGO,JPN
AGO,MLI
AGO,MAR
AGO,MOZ
AGO,NAM
AGO,NLD
AGO,NGA
AGO,NOR
AGO,POL
AGO,PRT
AGO,RUS
AGO,STP
AGO,ZAF
AGO,ESP
AGO,SWE
AGO,TUR
AGO,UKR
AGO,GBR
AGO,USA
AGO,VNM
AGO,ZMB
AGO,ZWE
ATG,BRA
ATG,CHN
ARG,ALB
ARG,DZA
ARG,AGO
ARG,ARM
ARG,AUS
ARG,AUT
ARG,AZE
ARG,BLR
ARG,BEL
ARG,BOL
ARG,BRA
ARG,BGR
ARG,CAN
ARG,CHL
ARG,CHN
ARG,COL
ARG,COG
ARG,CRI
ARG,HRV
ARG,CZE
ARG,DNK
ARG,DOM
ARG,ECU
ARG,EGY
ARG,SLV
ARG,FIN
ARG,FRA
ARG,GEO
ARG,DEU
ARG,GRC
ARG,GTM
ARG,HTI
ARG,HND
ARG,HUN
ARG,IND
ARG,IDN
ARG,IRN
ARG,IRL
ARG,ISR
ARG,ITA
ARG,JPN
ARG,KOR
ARG,KWT
ARG,LBN
ARG,LBY
ARG,LTU
ARG,MYS
ARG,MEX
ARG,MAR
ARG,NLD
ARG,NZL
ARG,NIC
ARG,NGA
ARG,NOR
ARG,PAK
ARG,PAN
ARG,PRY
ARG,PER
ARG,PHL
ARG,POL
ARG,PRT
ARG,RUS
ARG,SAU
ARG,SVK
ARG,SVN
ARG,ZAF
ARG,ESP
ARG,SWE
ARG,CHE
ARG,THA
ARG,TUN
ARG,TUR
ARG,UKR
ARG,ARE
ARG,GBR
ARG,USA
ARG,URY
