country_iso3,gdp_growth
ABW,1.999999104
AFG,2.647003202
AGO,-0.1472129411
ALB,3.802197488
AND,0.3460718896
ARB,0.8208465166
ARE,2.373536708
ARG,2.818502972
ARM,7.500000002
ASM,-5.85443038
ATG,3.145543603
AUS,2.300610624
AUT,2.399587603
AZE,0.1536146467
BDI,0.5000099988
BEL,1.608086835
BEN,5.671555469
BFA,6.203489411
BGD,7.284174423
BGR,3.50275153
BHR,4.290949778
BHS,3.115613515
BIH,3.171434875
BLR,2.5321835
BLZ,1.870195151
BMU,3.611419837
BOL,4.195206301
BRA,1.322869054
BRB,0.4751106792
BRN,1.328602552
BTN,4.651834675
BWA,2.903997732
CAF,4.527278213
CAN,3.170729897
CEB,4.893100789
CHE,1.79940885
CHL,1.188572582
CHN,6.947200793
CIV,7.359638088
CMR,3.549087318
COD,3.726947653
COG,-4.63308756
COL,1.359360868
COM,3.815702113
CPV,3.702039209
CRI,3.860198454
CSS,0.517131031
CUB,1.809054399
CUW,-1.73976542
CYM,3.102561215
CYP,5.154777146
CZE,5.168724304
DEU,2.601976005
DJI,5.403099843
DMA,-6.79942797
DNK,2.821736341
DOM,4.666704676
DZA,1.3
EAP,6.635941346
EAR,4.702127144
EAS,4.757241571
ECA,3.97914654
ECS,2.820340813
ECU,2.368386526
EGY,4.181221001
EMU,2.577965706
ESP,2.973641191
EST,5.49915471
ETH,9.564189643
EUU,2.789165217
FCS,1.778703729
FIN,3.270172274
FJI,5.353631074
FRA,2.291419994
FSM,2.682185944
GAB,0.4726420309
GBR,1.892077007
GEO,4.842603225
GHA,8.143446549
GIN,10.29990722
GMB,4.822611249
GNB,5.919176626
GNQ,-5.667502957
GRC,1.505099396
GRD,4.442740288
GRL,0.4685466377
GTM,3.02343025
GUM,0.2498078401
GUY,3.734494659
HIC,2.438395003
HKG,3.791034335
HND,4.842913911
HPC,4.685421087
HRV,3.439217352
HTI,2.286127252
HUN,4.316780987
IBD,4.965273009
IBT,4.907948349
IDA,4.093419328
IDB,2.715367888
IDN,5.069785901
IDX,5.441063274
IMN,2.837739696
IND,7.043820855
IRL,8.145296263
IRN,3.755196452
IRQ,-2.494642939
ISL,4.545982903
ISR,3.536703171
ITA,1.667859041
JAM,1.003365318
JOR,2.087114619
JPN,2.168290737
KAZ,4.1
KEN,4.805696525
KGZ,4.739937254
KHM,6.829082448
KIR,0.8915081704
KNA,-1.977341942
KOR,3.15963574
KWT,-4.712106209
LAC,1.888527927
LAO,6.892530873
LBN,0.8506995588
LBR,2.468626095
LBY,26.68090263
LCA,3.48884866
LCN,1.792411727
LDC,4.5861428
LIC,3.71007448
LKA,3.578169679
LMC,5.46827834
LMY,4.931635566
LSO,-1.321685253
LTE,4.866406673
LTU,4.282596951
LUX,1.801180955
LVA,3.25072029
MAC,9.887584069
MAR,4.248949208
MCO,-3.40000081
MDA,4.69079339
MDG,3.933316171
MDV,7.210479788
MEA,1.554407756
MEX,2.113129135
MHL,4.056644584
MIC,4.949010827
MKD,1.081772738
MLI,5.305456084
MLT,8.015063134
MMR,6.404977325
MNA,2.906722609
MNE,4.716489657
MNG,5.337037933
MNP,25.56818182
MOZ,3.741317593
MRT,3.497175006
MUS,3.814152115
MWI,4.000030517
MYS,5.81272241
NAC,2.447321646
NAM,-0.2562711483
NER,4.999097165
NGA,0.8058866195
NIC,4.630821552
NLD,2.910902513
NOR,2.323258407
NPL,8.223499483
NRU,-5.747126437
NZL,3.163097542
OED,2.57055685
OMN,0.3463220405
OSS,1.05889099
PAK,5.554277437
PAN,5.599006763
PER,2.518835442
PHL,6.930988326
PLW,-1.916360453
PNG,3.534610884
POL,4.83065457
PRE,1.388666702
PRI,-2.885954759
PRT,3.506344739
PRY,4.953771979
PSE,1.419367563
PSS,4.147688643
PST,2.431958165
QAT,-1.49760469
ROU,7.319448529
RUS,1.825790064
RWA,3.976289694
SAS,6.829018711
SAU,-0.7415026515
SDN,0.7678615039
SEN,7.407486186
SGP,4.336604919
SLB,5.343587695
SLE,4.211182649
SLV,2.249942252
SMR,0.6023812143
SRB,2.101163847
SSA,2.368830827
SSF,2.380923194
SST,1.034673695
STP,3.848982387
SUR,1.76230389
SVK,3.043279556
SVN,4.79354876
SWE,2.567924525
SWZ,2.026570236
SXM,-5.8
SYC,4.375995958
TCA,-2.490222604
TCD,-2.988695986
TEA,6.636234294
TEC,4.235912241
TGO,4.357413915
THA,4.066250349
TJK,7.617492691
TKM,6.500000047
TLA,1.874502102
TLS,-4.103609745
TMN,2.919831141
TON,3.322432544
TSA,6.829018711
TSS,2.380923194
TTO,-2.312115621
TUN,1.916928327
TUR,7.501997494
TUV,4.094017717
TZA,6.785680114
UGA,3.809129029
UKR,2.466035625
UMC,4.81515717
URY,2.591338692
USA,2.369800784
UZB,4.46152609
VCT,1.000357879
VIR,-1.696542894
VNM,6.81224566
VUT,4.417588635
WLD,3.298627971
WSM,1.044879689
XKX,4.225629511
YEM,-5.072010019
ZAF,1.414512626
ZMB,3.504336096
ZWE,4.704035391
VEN,-15.67
