country_iso3,inflation_rate
AFG,4.975951506
ALB,2.060598459
DZA,5.59111591
AGO,29.84358669
ATG,2.43248789
ARM,0.9695532688
ABW,-1.028281788
AUS,1.948647409
AUT,2.081269114
AZE,12.93591842
BHS,1.499926233
BHR,1.386718306
BGD,5.702070157
BRB,4.66018464
BLR,6.031837252
BEL,2.12597086
BEN,1.769412474
BTN,4.95508367
BOL,2.822758055
BIH,0.810133322
BWA,3.308280768
BRA,3.44637335
BRN,-1.260505646
BGR,2.061596194
BFA,1.482998972
BDI,16.0525353
CPV,0.7844152511
KHM,2.890924692
CMR,0.6426735219
CAN,1.596884129
CAF,4.180723319
TCD,-1.53709963
CHL,2.182718469
CHN,1.593136001
COL,4.312141032
COG,0.4500638233
CRI,1.62590693
CIV,0.6858810653
HRV,1.129372103
CUW,1.585588017
CYP,0.5317664962
CZE,2.450533985
DNK,1.14713217
DJI,0.5681121171
DMA,0.2962528893
DOM,3.279556947
ECU,0.4173355887
EGY,29.50660839
SLV,1.012354033
GNQ,0.7455992185
EST,3.417235495
ETH,10.68172955
FJI,3.347578348
FIN,0.7540150471
FRA,1.032282751
GAB,2.651925831
GMB,8.034189745
GEO,6.035317253
DEU,1.509496558
GHA,11.6995402
GRC,1.121235477
GRD,0.9084582559
GTM,4.424536552
GIN,8.91452597
GNB,1.691114618
GUY,1.904656155
HTI,10.68008872
HND,3.934360844
HKG,1.480582524
HUN,2.348242812
ISL,1.760415592
IND,3.328173375
IDN,3.80879807
IRN,8.044924377
IRQ,0.1840588988
IRL,0.3405315615
ISR,0.244953121
ITA,1.226533166
JAM,4.37839865
JPN,0.467211747
JOR,3.323894476
KAZ,7.440004373
KEN,8.005722791
KIR,0.3555208885
KOR,1.944455907
XKX,1.488234306
KWT,2.171832985
KGZ,3.175309864
LAO,0.8254786076
LVA,2.930363124
LBN,4.321352183
LSO,4.447699374
LBR,12.41963239
LTU,3.722888623
LUX,1.730799591
MAC,1.22655456
MKD,1.351618897
MDG,8.609050754
MWI,11.54339392
MYS,3.871201158
MDV,2.817473382
MLI,1.759857429
MLT,1.364354482
MRT,2.275034573
MUS,3.666997027
MEX,6.04145724
FSM,0.6890279789
MDA,6.570229975
MNG,4.310762541
MNE,2.380235991
MAR,0.7546632493
MOZ,15.11320739
MMR,4.572536553
NAM,6.145799811
NPL,3.627096107
NLD,1.381458714
NZL,1.850787675
NIC,3.850671663
NER,2.796373189
NGA,16.52353998
NOR,1.875100596
OMN,1.597160603
PAK,4.08537368
PLW,1.280462619
PAN,0.8755859188
PNG,5.42204568
PRY,3.602477413
PER,2.80283917
PHL,2.853187726
POL,2.075935537
PRT,1.368614116
QAT,0.3948789141
ROU,1.339021211
RUS,3.683329444
RWA,8.279536723
WSM,1.749896775
SMR,1.045976835
STP,5.695088786
SAU,-0.8381945797
SEN,1.318153148
SRB,3.131062486
SYC,2.856795756
SLE,18.2198092
SGP,0.5762603102
SXM,2.19201011
SVK,1.311945882
SVN,1.429107433
SLB,0.4886867603
ZAF,5.181082233
SSD,187.8516303
ESP,1.956083333
LKA,7.704137679
KNA,0.6949167116
LCA,0.1184177258
VCT,2.153336488
SDN,32.3516261
SUR,21.99694302
SWZ,6.221375289
SWE,1.794499047
CHE,0.5337878398
TZA,5.318716052
THA,0.6656318931
TLS,0.5229766804
TGO,-0.9802894955
TON,7.442245466
TTO,1.880384402
TUN,5.308848396
TUR,11.14431108
UGA,5.640931922
UKR,14.43832275
ARE,1.966825578
GBR,2.557755776
USA,2.130110004
URY,6.218093826
VUT,3.084526244
VNM,3.520256888
PSE,0.2125709342
ZMB,6.577311542
ZWE,0.8939623161
ARG,25.68
COM,0.09
LBY,28.05
TJK,7.31
TKM,8.04
UZB,13.9
YEM,30.4
