country_iso3,merchandise_of_gdp
AFG,41.27197891
ALB,58.08892528
DZA,47.76679761
ASM,162.0915033
AND,53.19679489
AGO,40.18544381
ATG,39.16953027
ARG,19.51140569
ARM,55.81455759
AUS,34.60088681
AUT,82.59850871
AZE,59.37518205
BHS,29.46191967
BHR,80.40023572
BGD,35.51586736
BRB,41.88429088
BLR,115.9893096
BEL,167.2635592
BLZ,73.8756027
BEN,44.95476865
BMU,15.58318058
BTN,65.37801703
BOL,45.68013932
BIH,93.50602623
BWA,64.3414055
BRA,18.18660381
BRN,71.37141458
BGR,111.2774426
BFA,47.74949042
BDI,29.22177054
CPV,47.40682906
KHM,115.2580101
CMR,22.93393051
CAN,52.40611196
CYM,22.00730082
CAF,30.30376181
TCD,44.71823255
CHL,48.38852745
CHN,33.36313096
COL,26.60382439
COM,27.10128324
COD,33.14109253
COG,115.3296029
CRI,45.5499044
CIV,41.61226245
HRV,73.71447019
CUB,12.98282929
CUW,60.77115623
CYP,55.07896719
CZE,158.0275688
DNK,58.85293687
DJI,244.8880745
DMA,40.3972755
DOM,34.83713154
ECU,37.52018465
EGY,37.0040438
SLV,65.38239816
GNQ,65.91309531
EST,116.1722542
ETH,22.97030461
FRO,82.84816052
FJI,63.0626744
FIN,54.37255647
FRA,44.60206888
GAB,55.95637016
GMB,44.65384044
GEO,66.50899008
DEU,71.07917614
GHA,45.00281178
GRC,43.1406335
GRL,47.97194829
GRD,39.97565269
GUM,13.18809247
GTM,40.99972773
GIN,78.23980191
GNB,46.66054454
GUY,64.88809768
HTI,34.26244216
HND,86.72544346
HKG,333.7135483
HUN,154.8142936
ISL,47.89252435
IND,28.25471031
IDN,32.0726653
IRN,31.94442917
IRQ,58.80597336
IRL,68.11073044
ISR,36.94041631
ITA,49.08351105
JAM,48.13292468
JPN,28.15827368
JOR,67.63994901
KAZ,46.50317898
KEN,28.41005341
KIR,77.95971484
KOR,64.79284624
KWT,73.39067365
KGZ,81.25474462
LAO,62.54046927
LVA,102.5522754
LBN,45.04462268
LSO,134.1226642
LBR,44.04260597
LBY,77.6623044
LTU,130.4743798
LUX,60.34823604
MAC,21.51743159
MKD,118.3968688
MDG,49.46755503
MWI,39.04378162
MYS,129.5930028
MDV,56.32733607
MLI,46.74042369
MLT,66.97526819
MHL,60.97443717
MRT,77.60457525
MUS,57.28788382
MEX,72.62080708
FSM,62.45452274
MDA,75.03805689
MNG,92.23022673
MNE,62.47127125
MAR,63.60345084
MOZ,79.20367094
MMR,49.34415859
NAM,91.32888812
NRU,61.13922918
NPL,38.26852548
NLD,147.4749139
NZL,37.78679537
NIC,93.41421849
NER,28.22278391
NGA,20.15747482
MNP,40.38461538
NOR,45.75947943
OMN,84.06671367
PAK,26.04186733
PLW,57.32125206
PAN,53.09576594
PNG,57.2097836
PRY,52.70900776
PER,40.42847684
PHL,51.94031588
POL,88.9208179
PRT,63.80702479
QAT,60.45594703
ROU,73.80745323
RUS,37.563666
RWA,35.45839093
WSM,48.06804825
STP,43.12936833
SAU,51.75154208
SEN,46.28376172
SRB,88.13905085
SYC,121.2867176
SLE,49.95216073
SGP,204.2796047
SVK,173.3346548
SVN,153.7574574
SLB,72.24893446
ZAF,54.50457909
ESP,51.2879716
LKA,36.993077
KNA,36.01003065
LCA,39.11779063
VCT,46.95915619
SDN,29.39766612
SUR,91.10086045
SWZ,77.51580581
SWE,56.76975153
CHE,80.83099573
TJK,52.71719891
TZA,23.2780463
THA,100.3937791
TLS,36.07742478
TGO,45.18821661
TON,54.30306796
TTO,69.84008052
TUN,87.57729389
TUR,46.9396687
TKM,31.71678896
TCA,36.58184699
TUV,66.4709434
UGA,27.63748713
UKR,82.78251715
ARE,152.2947649
GBR,40.63870402
USA,20.23616237
URY,25.44759541
UZB,37.38002103
VUT,47.38401846
VNM,191.229447
YEM,31.13388967
ZMB,61.81976695
ZWE,44.93743172
