country_iso3,foreign_direct_investment_inflows,gdp_growth,population,net_barter_of_trade,area,industry_of_gdp,continent,agriculture_forestry_fishing_of_gdp,merchandise_of_gdp,gdp_us_dollar,gdp_per_capita,landlocked,inflation_rate,langoff_1
AFG,51533896.77,2.647003202,36296111.0,167.5489697,652225,10.051874,Asia,26.42019908,41.27197891,18869945678.0,519.8889126,1,4.975951506,Persian
AGO,-7397295409.0,-0.1472129411,29816769.0,147.7066494,1246700,42.16795355,Africa,10.01699591,40.18544381,122123822334.0,4095.810057,0,29.84358669,Portuguese
ALB,1022757857.0,3.802197488,2873457.0,94.53256107,28748,20.35836057,Europe,19.02214284,58.08892528,13019693451.0,4531.020806,0,2.060598459,Albanian
ARE,10354223000.0,2.373536708,9487206.0,152.8648477,83657,42.57462498,Asia,0.7705473397,152.2947649,385605506855.0,40644.79119,0,1.966825578,Arabic
ARG,11516861462.0,2.818502972,44044811.0,150.7457768,2766889,21.78212322,America,5.231622377,19.51140569,643628665303.0,14613.04182,0,25.68,Spanish
ARM,250935110.2,7.500000002,2944789.0,132.1706988,29800,25.80953238,Asia,14.99426012,55.81455759,11527458566.0,3914.527854,1,0.9695532688,Armenian
ATG,156934594.9,3.145543603,95425.0,54.62271146,442,19.22069665,America,1.793598652,39.16953027,1467977778.0,15383.5764,0,2.43248789,English
AUS,47281951027.0,2.300610624,24601860.0,172.4928872,7686848,23.46106467,Pacific,2.704424891,34.60088681,1329188475752.0,54027.96682,0,1.948647409,English
AUT,13518864836.0,2.399587603,8797566.0,87.39412265,83858,25.40948444,Europe,1.210593152,82.59850871,417237869116.0,47309.36627,1,2.081269114,German
AZE,2867487000.0,0.1536146467,9854033.0,123.794084,86600,49.7017251,Asia,5.607369011,59.37518205,40865558912.0,4147.089716,1,12.93591842,Azeri
BDI,316473.4494,0.5000099988,10827010.0,161.5562119,27834,10.99312984,Africa,28.54664701,29.22177054,3172292379.0,292.9980095,1,16.0525353,French
BEL,-37288840312.0,1.608086835,11375158.0,95.76767056,33114,19.23536249,Europe,0.6650936602,167.2635592,502698069367.0,44089.31009,0,2.12597086,Dutch
BEN,200902719.3,5.671555469,11175192.0,129.9256095,112622,15.10758585,Africa,28.48901653,44.95476865,12701656931.0,1136.59397,0,1.769412474,French
BFA,2572690.322,6.203489411,19193236.0,140.4540499,274200,25.14023722,Africa,20.58558722,47.74949042,14106956830.0,734.996268,1,1.482998972,French
BGD,1810395804.0,7.284174423,159685421.0,66.2913641,143998,27.75089998,Asia,13.413466,35.51586736,249711027660.0,1563.767819,0,5.702070157,Bengali
BGR,2007290000.0,3.50275153,7075947.0,111.0493019,110994,24.25257907,Europe,4.034631896,111.2774426,58971520599.0,8334.081728,0,2.061596194,Bulgarian
BHR,518882978.7,4.290949778,1494077.0,137.9868329,678,41.17680576,Asia,0.2905952404,80.40023572,35473776596.0,23742.93734,0,1.386718306,Arabic
BHS,304587573.1,3.115613515,381749.0,78.64972193,13939,13.33632222,America,0.7677712218,29.46191967,12490700000.0,32719.66659,0,1.499926233,English
BIH,509429047.9,3.171434875,3351534.0,103.1469075,51233,24.00228555,Europe,5.601857227,93.50602623,18080118128.0,5394.579953,0,0.810133322,Serbo-Croatian
BLR,1276300000.0,2.5321835,9498264.0,97.76388586,207595,31.55448509,Europe,7.565802538,115.9893096,54726595249.0,5761.74712,0,6.031837252,Belarussian
BOL,712474137.8,4.195206301,11192853.0,103.6572313,1098581,26.36997443,America,11.58933594,45.68013932,37508642165.0,3351.124344,1,2.822758055,Spanish
BRA,68885491315.0,1.322869054,207833825.0,116.0580489,8511920,18.18850231,America,4.600591696,18.18660381,2062831045936.0,9928.643063,0,3.44637335,Portuguese
BRN,467927550.3,1.328602552,424481.0,141.9753174,5765,59.72051088,Asia,1.086449483,71.37141458,12128104859.0,28571.60829,0,-1.260505646,Malay
BTN,-16553759.95,4.651834675,745563.0,123.1562601,46620,41.84296363,Asia,15.03361881,65.37801703,2450364928.0,3286.596744,1,4.95508367,Burmese
BWA,260575129.4,2.903997732,2205076.0,87.56769633,600372,29.83522096,Africa,1.989850706,64.3414055,17405588070.0,7893.418671,1,3.308280768,English
CAF,6888751.401,4.527278213,4596023.0,79.32549068,622984,20.73722455,Africa,32.79017123,30.30376181,2072350151.0,450.900697,1,4.180723319,French
CAN,25357801000.0,3.170729897,36545295.0,105.5229537,9976139,24.02780289,America,1.889994632,52.40611196,1649878054227.0,45129.35644,0,1.596884129,English
CHE,142756382246.0,1.79940885,8451840.0,109.6366246,41288,24.49631399,Europe,0.6230191152,80.83099573,679950481623.0,83352.08865,1,0.5337878398,German
CHL,6127820993.0,1.188572582,18470435.0,214.4231458,756945,29.44353008,America,3.980306434,48.38852745,277044950259.0,14998.81706,0,2.182718469,Spanish
CHN,166083755722.0,6.947200793,1386395000.0,87.29397864,9572378,39.85169845,Asia,7.463565017,33.36313096,12310409370893.0,8879.438667,0,1.593136001,Chinese
CIV,975014998.8,7.359638088,24437475.0,152.3219865,322463,20.46379888,Africa,18.73748665,41.61226245,51588158718.0,2111.026557,0,0.6858810653,French
CMR,814458940.9,3.549087318,24566070.0,141.8341166,475442,25.28827825,Africa,14.37221482,22.93393051,35009262788.0,1425.106368,0,0.6426735219,French
COG,4416953734.0,-4.63308756,5110701.0,180.3070244,342000,41.69098372,Africa,7.362309476,115.3296029,11198674674.0,2173.680253,0,0.4500638233,French
COL,13836696227.0,1.359360868,48909844.0,127.7919685,1141748,26.81485891,America,6.389663553,26.60382439,311883730690.0,6376.706716,0,4.312141032,Spanish
COM,3919473.025,3.815702113,813890.0,97.84979832,1862,9.137350096,Africa,31.89888687,27.10128324,1077439663.0,1323.814958,0,0.09,Arabic
CRI,2868934829.0,3.860198454,4949955.0,99.90802204,51076,19.31453971,America,4.699776332,45.5499044,58481858043.0,12225.57449,0,1.62590693,Spanish
CYP,12249400600.0,5.154777146,1179685.0,90.53554651,9251,11.26002578,Europe,1.840274944,55.07896719,22729184365.0,26444.07438,0,0.5317664962,Greek
CZE,11234740946.0,5.168724304,10594438.0,103.4637821,78864,32.70829701,Europe,2.057606888,158.0275688,218628940952.0,20636.19995,1,2.450533985,Czech
DEU,109505815447.0,2.601976005,82657002.0,100.2129412,357325,27.51108943,Europe,0.826170449,71.07917614,3682602479929.0,44442.77184,0,1.509496558,German
DMA,24103787.49,-6.79942797,71460.0,107.5411464,751,11.10889453,America,13.4493716,40.3972755,519837037.0,7274.517731,0,0.2962528893,English
DNK,3607276300.0,2.821736341,5764980.0,100.3269168,43094,20.74323784,Europe,1.30480036,58.85293687,332121063806.0,57610.09818,0,1.14713217,Danish
DOM,3597900000.0,4.666704676,10513111.0,106.5096662,48734,28.068774,America,5.342666643,34.83713154,79997975623.0,7609.353275,0,3.279556947,Spanish
DZA,1230243451.0,1.3,41389174.0,176.7435931,2381741,36.78759496,Africa,11.75607379,47.76679761,170163165961.0,4109.703442,0,5.59111591,Arabic
ECU,624469412.3,2.368386526,16785356.0,122.288014,275716,32.52358756,America,9.329258912,37.52018465,104295862000.0,6213.503127,0,0.4173355887,Spanish
EGY,7408700000.0,4.181221001,96442590.0,149.0685022,1001449,33.75076369,Africa,11.4852853,37.0040438,235733695652.0,2444.290387,0,29.50660839,Arabic
ESP,31565354024.0,2.973641191,46593236.0,91.93509651,505954,20.0600413,Europe,2.788529152,51.2879716,1312539279462.0,28100.58624,0,1.956083333,Spanish
EST,1727022619.0,5.49915471,1317384.0,94.74942653,45227,23.61594229,Europe,2.374276902,116.1722542,26951648829.0,20407.92738,0,3.417235495,Estonian
ETH,4017159565.0,9.564189643,106399926.0,141.7854298,1127127,23.58190618,Africa,33.77928067,22.97030461,81770791971.0,768.5230154,1,10.68172955,Amharic
