country_iso3,colonizer
AFG,USA
DZA,FRA
AGO,PRT
BHR,GBR
BGD,GBR
BEN,FRA
BTN,GBR
BWA,GBR
BFA,FRA
BDI,DEU
BDI,BEL
CMR,DEU
CMR,FRA
CMR,GBR
CAF,FRA
TCD,FRA
COG,FRA
DJI,FRA
EGY,FRA
EGY,GBR
GNQ,PRT
GNQ,NLD
GNQ,GBR
GNQ,ESP
ETH,ITA
ETH,GBR
FJI,GBR
FJI,AUS
GAB,FRA
GMB,GBR
GHA,GBR
GIN,FRA
GNB,PRT
IND,GBR
IDN,NLD
IRN,GBR
IRN,RUS
IRQ,GBR
CIV,FRA
JOR,GBR
KHM,FRA
KEN,PRT
KEN,GBR
PRK,JPN
KOR,JPN
KWT,GBR
LAO,FRA
LBN,FRA
LSO,GBR
LBR,USA
LBY,ITA
MDG,FRA
MWI,GBR
MYS,PRT
MYS,NLD
MYS,GBR
MLI,FRA
MRT,FRA
MAR,FRA
MAR,ESP
MOZ,PRT
MMR,GBR
NPL,GBR
NER,FRA
NGA,GBR
OMN,PRT
OMN,GBR
PAK,GBR
PNG,DEU
PNG,GBR
PNG,AUS
PHL,ESP
PHL,USA
QAT,GBR
RWA,DEU
RWA,BEL
SAU,GBR
SEN,FRA
SLE,GBR
SLB,GBR
SLB,DEU
SOM,PRT
SOM,ITA
SOM,GBR
ZAF,NLD
ZAF,GBR
LKA,GBR
SDN,GBR
SWZ,GBR
SYR,FRA
TWN,NLD
TWN,JPN
TZA,PRT
TZA,GBR
TZA,DEU
TGO,DEU
TGO,FRA
TUN,FRA
UGA,GBR
ARE,GBR
VUT,GBR
VUT,FRA
VNM,FRA
ZAR,BEL
ZMB,GBR
ZWE,PRT
ZWE,GBR
