source,target,colonization
AFG,AFG,0.0
AFG,AGO,0.0
AFG,ALB,0.0
AFG,ARE,0.0
AFG,ARG,0.0
AFG,ARM,0.0
AFG,ATG,0.0
AFG,AUS,0.0
AFG,AUT,0.0
AFG,AZE,0.0
AFG,BDI,0.0
AFG,BEL,0.0
AFG,BEN,0.0
AFG,BFA,0.0
AFG,BGD,0.0
AFG,BGR,0.0
AFG,BHR,0.0
AFG,BHS,0.0
AFG,BIH,0.0
AFG,BLR,0.0
AFG,BOL,0.0
AFG,BRA,0.0
AFG,BRN,0.0
AFG,BTN,0.0
AFG,BWA,0.0
AFG,CAF,0.0
AFG,CAN,0.0
AFG,CHE,0.0
AFG,CHL,0.0
AFG,CHN,0.0
AFG,CIV,0.0
AFG,CMR,0.0
AFG,COG,0.0
AFG,COL,0.0
AFG,COM,0.0
AFG,CRI,0.0
AFG,CYP,0.0
AFG,CZE,0.0
AFG,DEU,0.0
AFG,DMA,0.0
AFG,DNK,0.0
AFG,DOM,0.0
AFG,DZA,0.0
AFG,ECU,0.0
AFG,EGY,0.0
AFG,ESP,0.0
AFG,EST,0.0
AFG,ETH,0.0
AFG,FIN,0.0
AFG,FJI,0.0
AFG,FRA,0.0
AFG,GAB,0.0
AFG,GBR,0.0
AFG,GEO,0.0
AFG,GHA,0.0
AFG,GIN,0.0
AFG,GMB,0.0
AFG,GNB,0.0
AFG,GNQ,0.0
AFG,GRC,0.0
AFG,GRD,0.0
AFG,GTM,0.0
AFG,GUY,0.0
AFG,HND,0.0
AFG,HRV,0.0
AFG,HTI,0.0
AFG,HUN,0.0
AFG,IDN,0.0
AFG,IND,0.0
AFG,IRL,0.0
AFG,IRN,0.0
AFG,IRQ,0.0
AFG,ISL,0.0
AFG,ISR,0.0
AFG,ITA,0.0
AFG,JAM,0.0
AFG,JOR,0.0
AFG,JPN,0.0
AFG,KAZ,0.0
AFG,KEN,0.0
AFG,KGZ,0.0
AFG,KHM,0.0
AFG,KIR,0.0
AFG,KNA,0.0
AFG,KOR,0.0
AFG,KWT,0.0
AFG,LAO,0.0
AFG,LBN,0.0
AFG,LBR,0.0
AFG,LBY,0.0
AFG,LCA,0.0
AFG,LKA,0.0
AFG,LSO,0.0
AFG,LTU,0.0
AFG,LUX,0.0
AFG,LVA,0.0
AFG,MAR,0.0
AFG,MDA,0.0
AFG,MDG,0.0
AFG,MDV,0.0
AFG,MEX,0.0
AFG,MKD,0.0
AFG,MLI,0.0
AFG,MLT,0.0
AFG,MMR,0.0
AFG,MNG,0.0
AFG,MOZ,0.0
AFG,MRT,0.0
AFG,MUS,0.0
AFG,MWI,0.0
AFG,MYS,0.0
AFG,NAM,0.0
AFG,NER,0.0
AFG,NGA,0.0
AFG,NIC,0.0
AFG,NLD,0.0
AFG,NOR,0.0
AFG,NPL,0.0
AFG,NZL,0.0
AFG,OMN,0.0
AFG,PAK,0.0
AFG,PAN,0.0
AFG,PER,0.0
AFG,PHL,0.0
AFG,PLW,0.0
AFG,PNG,0.0
AFG,POL,0.0
AFG,PRT,0.0
AFG,PRY,0.0
AFG,QAT,0.0
AFG,RUS,0.0
AFG,RWA,0.0
AFG,SAU,0.0
AFG,SEN,0.0
AFG,SGP,0.0
AFG,SLE,0.0
AFG,SLV,0.0
AFG,STP,0.0
AFG,SUR,0.0
AFG,SVK,0.0
AFG,SVN,0.0
AFG,SWE,0.0
AFG,SWZ,0.0
AFG,SYC,0.0
AFG,TCD,0.0
AFG,TGO,0.0
AFG,THA,0.0
AFG,TJK,0.0
AFG,TKM,0.0
AFG,TON,0.0
AFG,TTO,0.0
AFG,TUN,0.0
AFG,TUR,0.0
AFG,TZA,0.0
AFG,UGA,0.0
AFG,UKR,0.0
AFG,URY,0.0
AFG,USA,1.0
AFG,UZB,0.0
AFG,VCT,0.0
AFG,VNM,0.0
AFG,WSM,0.0
AFG,YEM,0.0
AFG,ZAF,0.0
AFG,ZMB,0.0
AFG,ZWE,0.0
AGO,AFG,0.0
AGO,AGO,0.0
AGO,ALB,0.0
AGO,ARE,0.0
AGO,ARG,0.0
AGO,ARM,0.0
AGO,ATG,0.0
AGO,AUS,0.0
AGO,AUT,0.0
AGO,AZE,0.0
AGO,BDI,0.0
AGO,BEL,0.0
AGO,BEN,0.0
AGO,BFA,0.0
AGO,BGD,0.0
AGO,BGR,0.0
AGO,BHR,0.0
AGO,BHS,0.0
AGO,BIH,0.0
AGO,BLR,0.0
AGO,BOL,0.0
AGO,BRA,0.0
AGO,BRN,0.0
AGO,BTN,0.0
AGO,BWA,0.0
AGO,CAF,0.0
AGO,CAN,0.0
AGO,CHE,0.0
AGO,CHL,0.0
AGO,CHN,0.0
AGO,CIV,0.0
AGO,CMR,0.0
AGO,COG,0.0
AGO,COL,0.0
AGO,COM,0.0
AGO,CRI,0.0
AGO,CYP,0.0
AGO,CZE,0.0
AGO,DEU,0.0
AGO,DMA,0.0
AGO,DNK,0.0
AGO,DOM,0.0
AGO,DZA,0.0
AGO,ECU,0.0
AGO,EGY,0.0
AGO,ESP,0.0
AGO,EST,0.0
AGO,ETH,0.0
AGO,FIN,0.0
AGO,FJI,0.0
AGO,FRA,0.0
AGO,GAB,0.0
AGO,GBR,0.0
AGO,GEO,0.0
AGO,GHA,0.0
AGO,GIN,0.0
AGO,GMB,0.0
AGO,GNB,0.0
AGO,GNQ,0.0
