country_iso3,happiness
AFG,0.721
ALB,0.568
DZA,0.542
AGO,0.708
ARG,0.813
ARM,0.488
AUS,0.863
AUT,0.89
AZE,0.455
BHR,0.577
BGD,0.702
BLR,0.437
BEL,0.821
BEN,0.543
BOL,0.773
BIH,0.592
BWA,0.732
BRA,0.853
BGR,0.456
BFA,0.497
BDI,0.683
KHM,0.814
CMR,0.576
CAN,0.911
CAF,0.524
TCD,0.515
CHL,0.792
CHN,0.785
COL,0.831
COM,0.681
COG,0.3
CRI,0.251
HRV,0.614
CYP,0.737
CZE,0.249
DNK,0.647
DOM,0.293
ECU,0.837
EGY,0.522
EST,0.558
ETH,0.732
FIN,0.857
FRA,0.768
GAB,0.456
GEO,0.527
DEU,0.865
GHA,0.8
GRC,0.471
GTM,0.851
GIN,0.648
HTI,0.634
HND,0.813
HUN,0.635
ISL,0.907
IND,0.667
IDN,0.859
IRN,0.609
IRQ,0.454
IRL,0.895
ISR,0.713
ITA,0.581
JAM,0.834
JPN,0.786
JOR,0.61
KAZ,0.654
KEN,0.771
KWT,0.751
KGZ,0.657
LVA,0.418
LBN,0.557
LSO,0.796
LBR,0.613
LBY,0.631
LTU,0.462
LUX,0.86
MKD,0.664
MDG,0.448
MWI,0.771
MYS,0.882
MLI,0.712
MLT,0.809
MRT,0.804
MUS,0.732
MEX,0.819
MDA,0.526
MNG,0.753
MAR,0.654
MOZ,0.644
MMR,0.75
NPL,0.739
NLD,0.844
NZL,0.216
NIC,0.772
NER,0.707
NGA,0.829
CYP,0.79
NOR,0.749
OMN,0.893
PAK,0.682
PAN,0.898
PRY,0.755
PER,0.776
PHL,0.913
POL,0.64
PRT,0.779
QAT,0.833
RUS,0.484
RWA,0.708
SAU,0.689
SEN,0.775
SLE,0.295
SGP,0.572
SVK,0.589
SVN,0.733
ZAF,0.741
KOR,0.608
ESP,0.804
LKA,0.848
SDN,0.606
SUR,0.656
SWZ,0.815
SWE,0.791
CHE,0.907
TJK,0.751
TZA,0.708
THA,0.936
TGO,0.362
TTO,0.907
TUN,0.571
TUR,0.707
TKM,0.596
UGA,0.71
UKR,0.47
ARE,0.764
GBR,0.873
USA,0.877
URY,0.75
UZB,0.786
VEN,0.808
VNM,0.637
YEM,0.551
ZMB,0.792
ZWE,0.728
