country,community
AFG,0
ALB,1
ARE,0
ARG,2
ARM,1
AUS,0
AUT,1
AZE,1
BDI,0
BEL,1
BFA,3
BGD,0
BGR,1
BHR,0
BIH,1
BLR,1
BRA,2
CAN,2
CHE,1
CHL,2
CHN,0
CRI,2
CYP,1
CZE,1
DEU,1
DNK,1
EGY,0
ESP,1
EST,1
ETH,0
FIN,1
FRA,1
GBR,1
GEO,1
GHA,3
GRC,1
GTM,2
HRV,1
HUN,1
IDN,0
IND,0
IRL,1
IRN,0
IRQ,0
ISR,2
ITA,1
JAM,2
JOR,0
JPN,0
KAZ,1
KGZ,0
KHM,0
KNA,1
KOR,0
KWT,0
LBN,1
LKA,0
LTU,1
LUX,1
LVA,1
MDA,1
MDG,0
MEX,2
MKD,1
MLT,0
MOZ,3
MYS,0
NLD,1
NOR,1
NPL,0
NZL,0
OMN,0
PAK,0
PER,2
PHL,0
POL,1
PRT,1
PRY,2
QAT,0
RUS,1
RWA,0
SAU,0
SEN,1
SGP,0
SUR,2
SVK,1
SVN,1
SWE,1
THA,0
TJK,0
TKM,1
TUR,1
UKR,1
URY,2
USA,2
ZAF,3
ZWE,3
AGO,0
BEN,0
BOL,2
BWA,3
CIV,2
CMR,1
COG,0
COL,2
DOM,2
DZA,1
ECU,2
GMB,0
HND,2
ISL,1
LSO,3
MAR,1
MLI,3
MRT,1
MUS,0
MWI,3
NAM,3
NER,3
NGA,2
NIC,2
PAN,0
SLV,2
STP,0
SWZ,3
TGO,3
TTO,2
TUN,1
TZA,0
UGA,0
VNM,0
YEM,0
ZMB,3
COM,0
KEN,0
LAO,0
LBR,0
LBY,1
LCA,2
SLE,3
ATG,2
BRN,0
CAF,0
FJI,0
GUY,2
MDV,0
MMR,0
PNG,0
SYC,0
TON,0
BHS,2
DMA,2
GAB,1
GIN,0
GNB,1
GNQ,2
GRD,2
HTI,2
MNG,0
TCD,1
UZB,1
VCT,2
BTN,0
KIR,0
PLW,2
WSM,0
