source,target,weight
ABW,CRI,2.112
ABW,ARG,0.23
ABW,PER,0.045
ABW,CHL,0.302
ABW,SWE,1.888
ABW,BRA,0.316
ABW,BHS,0.135
ABW,TUR,0.755
ABW,ITA,0.968
AFG,TKM,0.189
ALB,AZE,2.865
ALB,GRL,3.304
ALB,SLE,22.012
ALB,GEO,5.154999999999999
ALB,SAU,21.362
ALB,KEN,10.836
ALB,HND,0.002
ALB,TZA,5.557
ALB,GMB,0.002
ALB,SDN,0.818
ALB,LKA,2.176
ALB,KOR,0.337
ALB,THA,3.508
ALB,PAN,5.896
ALB,COM,4.251
ALB,IRL,0.315
ALB,QAT,10.998
ALB,BMU,9.909
ALB,AFG,0.739
ALB,MOZ,1.009
ALB,LBR,10.147
ALB,TGO,6.582
ALB,BLZ,9.551
ALB,MHL,3.309
ALB,ZAF,4.978
AND,MRT,0.45
AND,GAB,0.585
AND,SMR,0.682
AND,VGB,0.994
AND,CUB,1.253
AND,ECU,0.178
AND,PER,0.169
AND,IDN,1.257
AND,SYC,0.367
AND,MLT,0.485
AND,THA,0.558
AND,QAT,0.505
AND,AFG,0.292
AND,TUR,0.069
AND,MYS,0.306
AND,TGO,0.231
AND,VEN,0.922
AND,BRN,0.261
AND,UKR,0.74
AND,HUN,0.259
AND,ZAF,1.214
ARG,PNG,646.2839999999999
ARG,ATG,598.712
ARG,MMR,468.243
ARG,KNA,286.139
ARG,SMR,228.774
ARG,BDI,670.265
ARG,DMA,413.6110000000001
ARG,FJI,459.23
ARG,MDV,206.377
ARG,CAF,97.5
ARG,GRD,610.922
ARG,SYC,104.807
ARG,COM,245.616
ARG,LAO,12.395
ARG,VCT,514.922
ARG,GNB,492.557
ARG,TJK,444.422
ARG,AND,39.69200000000001
ARG,BRN,86.727
ARG,BWA,1.4860000000000002
ARG,BLZ,415.468
ARG,SLB,41.052
ARG,VUT,178.615
ARM,ALB,12.9
ARM,JOR,0.048
ARM,ZWE,12.75
ARM,GHA,3.83
ARM,SLE,3.964
ARM,PHL,1.0
ARM,UGA,6.96
ARM,URY,4.59
ARM,ARG,2.0
ARM,MDV,0.039
ARM,NAM,5.991
ARM,MEX,0.003
ARM,FIN,0.616
ARM,MNG,10.795
ARM,IRL,0.583
ARM,BRA,0.475
ARM,OMN,0.12
ARM,PRT,3.164
ARM,KHM,0.098
ARM,NZL,0.66
ATG,GHA,0.222
ATG,ZMB,0.186
ATG,HND,0.403
ATG,MEX,0.151
ATG,HTI,0.111
ATG,IRL,0.235
AUS,BRB,1067.658
AUS,BTN,35.254
AUS,SWZ,213.262
AUS,ZWE,1303.167
AUS,MKD,1033.428
