target,source
AFG,AUS
AFG,BGR
AFG,CAN
AFG,CHN
AFG,CZE
AFG,DNK
AFG,EGY
AFG,FIN
AFG,FRA
AFG,DEU
AFG,HUN
AFG,IND
AFG,IDN
AFG,IRN
AFG,ITA
AFG,JPN
AFG,KAZ
AFG,KOR
AFG,NLD
AFG,NZL
AFG,NOR
AFG,PAK
AFG,POL
AFG,RUS
AFG,SAU
AFG,ESP
AFG,SWE
AFG,TJK
AFG,TUR
AFG,TKM
AFG,ARE
AFG,GBR
AFG,USA
AFG,UZB
ALB,AUT
ALB,BGR
ALB,CHN
ALB,HRV
ALB,CZE
ALB,DNK
ALB,EGY
ALB,FRA
ALB,DEU
ALB,GRC
ALB,HUN
ALB,IRN
ALB,ITA
ALB,LBY
ALB,MKD
ALB,NLD
ALB,POL
ALB,RUS
ALB,SAU
ALB,ESP
ALB,CHE
ALB,TUR
ALB,GBR
ALB,USA
DZA,AGO
DZA,ARG
DZA,AUT
DZA,BEL
DZA,BEN
DZA,BRA
DZA,BGR
DZA,BFA
DZA,CMR
DZA,CAN
DZA,TCD
DZA,CHL
DZA,CHN
DZA,COG
DZA,HRV
DZA,CUB
DZA,CZE
DZA,CIV
DZA,EGY
DZA,FIN
DZA,FRA
DZA,GAB
DZA,DEU
DZA,GHA
DZA,GRC
DZA,GIN
DZA,GNB
DZA,HUN
DZA,IND
DZA,IDN
DZA,IRQ
DZA,ITA
DZA,JPN
DZA,JOR
DZA,PRK
DZA,KOR
DZA,KWT
DZA,LBN
DZA,LBY
DZA,MDG
DZA,MLI
DZA,MRT
DZA,MEX
DZA,MAR
DZA,NLD
DZA,NER
DZA,NGA
DZA,NOR
DZA,OMN
DZA,PAK
DZA,PER
DZA,POL
DZA,PRT
DZA,QAT
DZA,RUS
DZA,SAU
DZA,SEN
DZA,ZAF
DZA,ESP
DZA,SDN
DZA,SWE
DZA,CHE
DZA,SYR
DZA,TUN
DZA,TUR
DZA,UKR
DZA,ARE
DZA,GBR
DZA,USA
DZA,VEN
DZA,VNM
DZA,YEM
AND,FRA
AND,PRT
AND,ESP
AGO,DZA
AGO,ARG
AGO,BEL
AGO,BRA
AGO,BGR
AGO,CPV
AGO,CHN
AGO,COG
AGO,COG
AGO,CUB
AGO,CIV
AGO,EGY
AGO,GNQ
AGO,FRA
AGO,GAB
AGO,DEU
AGO,GHA
AGO,IND
AGO,ISR
AGO,ITA
AGO,JPN
AGO,MLI
AGO,MAR
AGO,MOZ
AGO,NAM
AGO,NLD
AGO,NGA
AGO,NOR
AGO,POL
AGO,PRT
AGO,RUS
AGO,STP
AGO,ZAF
AGO,ESP
AGO,SWE
AGO,UKR
AGO,GBR
AGO,USA
AGO,VNM
AGO,ZMB
AGO,ZWE
ATG,BRA
ATG,CHN
ATG,CUB
ATG,VEN
ARG,ALB
ARG,DZA
ARG,AGO
ARG,ARM
ARG,AUS
ARG,AUT
ARG,AZE
ARG,BLR
ARG,BEL
ARG,BOL
ARG,BRA
ARG,BGR
ARG,CAN
ARG,CHL
ARG,CHN
ARG,COL
ARG,COG
ARG,CRI
ARG,HRV
ARG,CUB
ARG,CZE
ARG,DNK
ARG,DOM
ARG,ECU
ARG,EGY
ARG,SLV
ARG,FIN
ARG,FRA
ARG,DEU
ARG,GRC
ARG,GTM
ARG,HTI
ARG,HND
ARG,HUN
ARG,IND
ARG,IDN
ARG,IRN
ARG,IRL
ARG,ISR
ARG,ITA
ARG,JPN
ARG,KOR
ARG,KWT
ARG,LBN
ARG,LBY
ARG,LTU
ARG,MYS
ARG,MEX
ARG,MAR
ARG,NLD
ARG,NZL
ARG,NIC
ARG,NGA
ARG,NOR
ARG,PAK
ARG,PAN
ARG,PRY
ARG,PER
ARG,PHL
ARG,POL
ARG,PRT
ARG,RUS
ARG,SMR
ARG,SAU
ARG,SVK
ARG,SVN
ARG,ZAF
ARG,ESP
ARG,SWE
ARG,CHE
ARG,SYR
ARG,THA
ARG,TUN
ARG,TUR
ARG,UKR
ARG,ARE
ARG,GBR
ARG,USA
ARG,URY
ARG,VEN
ARG,VNM
ARM,ARG
ARM,BLR
ARM,BRA
ARM,BGR
ARM,CHN
ARM,EGY
ARM,FRA
ARM,GEO
ARM,DEU
ARM,GRC
ARM,IND
ARM,IRN
ARM,ITA
ARM,KAZ
ARM,LBN
ARM,LTU
ARM,POL
ARM,RUS
ARM,SYR
ARM,TKM
ARM,UKR
ARM,GBR
ARM,USA
AUS,AFG
AUS,DZA
AUS,ARG
AUS,AUT
AUS,BGD
AUS,BEL
AUS,BIH
AUS,BWA
AUS,BRA
AUS,BRN
AUS,BGR
AUS,KHM
AUS,CAN
AUS,CHL
AUS,CHN
AUS,COL
AUS,HRV
AUS,CUB
AUS,CYP
AUS,CZE
AUS,DNK
AUS,ECU
AUS,EGY
AUS,FJI
AUS,FIN
AUS,FRA
AUS,DEU
AUS,GHA
AUS,GRC
AUS,HUN
AUS,IND
AUS,IDN
AUS,IRN
AUS,IRQ
AUS,IRL
AUS,ISR
AUS,ITA
AUS,JPN
AUS,JOR
AUS,KEN
AUS,KOR
AUS,KWT
AUS,LAO
AUS,LBN
AUS,LBY
AUS,MKD
AUS,MYS
AUS,MLT
AUS,MUS
AUS,MEX
AUS,MNG
AUS,MAR
AUS,MMR
AUS,NPL
AUS,NLD
AUS,NZL
AUS,NGA
AUS,NOR
AUS,PAK
AUS,PNG
AUS,PER
AUS,PHL
AUS,POL
AUS,PRT
AUS,RUS
AUS,WSM
AUS,SAU
AUS,SGP
AUS,SVK
AUS,SVN
AUS,SLB
AUS,ZAF
AUS,ESP
AUS,LKA
AUS,SWE
AUS,CHE
AUS,SYR
AUS,THA
AUS,TON
AUS,TUN
AUS,TUR
AUS,UGA
AUS,UKR
AUS,ARE
AUS,GBR
AUS,USA
AUS,URY
AUS,VEN
AUS,VNM
AUS,ZWE
AUT,AFG
AUT,ALB
AUT,DZA
AUT,AND
AUT,AGO
AUT,ARG
AUT,ARM
AUT,AUS
AUT,AZE
AUT,BLR
AUT,BEL
AUT,BLZ
AUT,BOL
AUT,BIH
AUT,BRA
AUT,BGR
AUT,BFA
AUT,CAN
AUT,CHL
AUT,CHN
AUT,COL
AUT,CRI
AUT,HRV
AUT,CUB
AUT,CYP
AUT,CZE
AUT,CIV
AUT,DNK
AUT,DOM
AUT,ECU
AUT,EGY
AUT,SLV
AUT,EST
AUT,ETH
AUT,FIN
AUT,FRA
AUT,GEO
AUT,DEU
AUT,GRC
AUT,GTM
AUT,HUN
