country_iso3,area,landlocked,continent,langoff_1
ABW,193,0,America,Dutch
AFG,652225,1,Asia,Persian
AGO,1246700,0,Africa,Portuguese
ALB,28748,0,Europe,Albanian
AND,453,0,Europe,Catalan
ARE,83657,0,Asia,Arabic
ARG,2766889,0,America,Spanish
ARM,29800,1,Asia,Armenian
ATG,442,0,America,English
AUS,7686848,0,Pacific,English
AUS,7686848,0,Pacific,English
AUT,83858,1,Europe,German
AZE,86600,1,Asia,Azeri
BDI,27834,1,Africa,French
BEL,33114,0,Europe,Dutch
BEN,112622,0,Africa,French
BEN,112622,0,Africa,French
BFA,274200,1,Africa,French
BGD,143998,0,Asia,Bengali
BGR,110994,0,Europe,Bulgarian
BHR,678,0,Asia,Arabic
BHS,13939,0,America,English
BIH,51233,0,Europe,Serbo-Croatian
BLR,207595,0,Europe,Belarussian
BLZ,22963,0,America,English
BMU,53,0,America,English
BOL,1098581,1,America,Spanish
BOL,1098581,1,America,Spanish
BRA,8511920,0,America,Portuguese
BRA,8511920,0,America,Portuguese
BRB,431,0,America,English
BRN,5765,0,Asia,Malay
BTN,46620,1,Asia,Burmese
BWA,600372,1,Africa,English
CAF,622984,1,Africa,French
CAN,9976139,0,America,English
CAN,9976139,0,America,English
CHE,41288,1,Europe,German
CHL,756945,0,America,Spanish
CHN,9572378,0,Asia,Chinese
CIV,322463,0,Africa,French
CIV,322463,0,Africa,French
CMR,475442,0,Africa,French
COG,342000,0,Africa,French
COL,1141748,0,America,Spanish
COM,1862,0,Africa,Arabic
CPV,4033,0,Africa,Portuguese
CRI,51076,0,America,Spanish
CUB,110861,0,America,Spanish
CYM,262,0,America,English
CYP,9251,0,Europe,Greek
CZE,78864,1,Europe,Czech
DEU,357325,0,Europe,German
DEU,357325,0,Europe,German
DJI,23200,0,Africa,French
DMA,751,0,America,English
DNK,43094,0,Europe,Danish
DOM,48734,0,America,Spanish
DZA,2381741,0,Africa,Arabic
ECU,275716,0,America,Spanish
EGY,1001449,0,Africa,Arabic
ERI,121320,0,Africa,English
ESP,505954,0,Europe,Spanish
EST,45227,0,Europe,Estonian
ETH,1127127,1,Africa,Amharic
FIN,336593,0,Europe,Swedish
FJI,18333,0,Pacific,English
FRA,547026,0,Europe,French
FSM,707,0,Pacific,English
GAB,267667,0,Africa,French
GBR,244110,0,Europe,English
GEO,69700,0,Asia,Georgian
GHA,238538,0,Africa,English
GIN,245857,0,Africa,French
GMB,11295,0,Africa,English
GNB,36125,0,Africa,Portuguese
GNQ,28051,0,Africa,Spanish
GRC,131621,0,Europe,Greek
GRD,345,0,America,English
GRL,2166086,0,America,Greenlandic
GTM,108889,0,America,Spanish
GUY,214970,0,America,English
HKG,1092,0,Asia,English
HND,112088,0,America,Spanish
HRV,56538,0,Europe,Serbo-Croatian
HTI,27750,0,America,French
HUN,93032,1,Europe,Hungarian
IDN,1933658,0,Asia,Indonesian
IND,3287590,0,Asia,English
IRL,70285,0,Europe,English
IRN,1648100,0,Asia,Persian
IRQ,437072,0,Asia,Arabic
ISL,102819,0,Europe,Icelandic
ISR,21621,0,Asia,Hebrew
ITA,301323,0,Europe,Italian
JAM,10991,0,America,English
JOR,91862,0,Asia,Arabic
JPN,377801,0,Asia,Japanese
KAZ,2717300,1,Asia,Kazakh
KAZ,2717300,1,Asia,Kazakh
KEN,582646,0,Africa,English
KGZ,198500,1,Asia,Kyrgyz
KHM,181035,0,Asia,Khmer
KIR,717,0,Pacific,English
KNA,269,0,America,English
KOR,99484,0,Asia,Korean
KWT,17818,0,Asia,Arabic
