country_iso3,colonizer,landlocked,agriculture_forestry_fishing_of_gdp,gdp_us_dollar,population,industry_of_gdp,gdp_per_capita,life_expectancy,area,inflation_rate,gdp_growth,langoff_1,continent,gni_atlas
AFG,USA,1,23.7436639877543,17804292964.0,30117411,22.7402524820273,591.162798293135,61.553,652225,11.8041858089129,0.4263547929,Persian,Asia,16077121255.9847
AGO,PRT,0,5.84568096888111,111789686464.0,24220660,56.026514743024,4615.46821863819,56.33,1246700,13.4824679218512,3.471976345,Portuguese,Africa,82606027251.3298
ALB,NONE,0,18.2267654155688,12890765324.0,2905195,24.484407516121,4437.14288515077,76.914,28748,3.42912324722164,2.545321845,Albanian,Europe,12803715190.2171
AND,NONE,0,0.53,3629203786.0,83748,12.4,43334.8114127088,82.43,453,1.35,-0.008069753411,Catalan,Europe,3624386229.0
ARE,GBR,0,0.671910149003627,350666031314.0,8946778,58.0355992952437,39194.672239975,76.521,83657,0.877346595685083,6.930271629,Arabic,Asia,313384146047.084
ARG,NONE,0,6.99873377022519,530163281575.0,41261490,25.2126976058843,12848.8641969705,75.439,2766889,9.8,6.003951693,Spanish,America,442106779404.792
ARM,NONE,1,17.5,10142111334.0,2876536,27.5,3525.80719813557,73.572,29800,7.6500080785929,4.699999999,Armenian,Asia,10160338267.6272
ATG,NONE,0,1.93318183889934,1137637037.0,89250,14.5307687799923,12746.6334682021,75.956,442,3.45674967234602,-1.958612628,English,America,1103969196.12055
AUS,NONE,0,2.27654236627696,1396649906339.0,22340024,26.4361276332007,62517.8337471503,81.8951219512195,7686848,3.30385015608744,2.462756312,English,Pacific,1124159547094.07
AUT,NONE,1,1.40191493427276,431120310089.0,8391643,25.4474320432043,51374.9584066934,80.9829268292683,83858,3.28657914875376,2.922797284,German,Europe,424545777489.332
AZE,NONE,1,5.07622595138436,65951627200.0,9173082,61.7339963903076,7189.69122920765,71.234,86600,7.85833333333332,-1.572997621,Azeri,Asia,50106859850.0597
BDI,DEU,1,36.7045760044036,2235820868.0,8958406,14.8096813161324,249.577972769836,57.925,27834,9.59216605979671,4.032602496,French,Africa,2104253277.07175
BEL,NONE,0,0.648034219951815,522645519184.0,11038264,20.7778964049581,47348.5250202016,80.5853658536585,33114,3.53208210722744,1.694513899,Dutch,Europe,512154309724.699
BEN,FRA,0,25.7970008253273,10693321954.0,9460829,18.1374491115974,1130.27318959427,59.59,112622,2.70423907747279,2.963752919,French,Africa,10357314404.0903
BFA,FRA,1,23.043650452489,12080296644.0,16081915,28.3722709055706,751.172770411005,57.761,274200,2.7597672485453,6.622562613,French,Africa,10923947196.1676
BGD,GBR,0,16.8099867573503,128637938711.0,149273134,25.0452996007551,861.762162181077,70.256,143998,11.3951651552399,6.464379123,Bengali,Asia,133342217808.458
BGR,NONE,0,4.64163500145713,57386216850.0,7348328,25.0746261038118,7809.42506245471,74.1634146341463,110994,4.21990346601875,2.354556923,Bulgarian,Europe,53055186216.2556
BHR,GBR,0,0.290850277264325,28776595745.0,1278153,49.5171903881701,22514.202716483,76.2,678,-0.400040697488052,1.983515012,Arabic,Asia,23212673261.2075
BHS,NONE,0,1.09230471329484,10070450000.0,359583,12.0451419747876,28005.9124040903,72.263,13939,3.19878141660321,0.6133841584,English,America,10080299475.654
BIH,NONE,0,6.75774577677582,18644723861.0,3661173,22.1932593254568,5092.55472521264,76.219,51233,3.67124999999999,0.9595112472,Serbo-Croatian,Europe,18340665911.0296
BLR,NONE,0,8.00175755504565,61757788945.0,9473172,36.0887890771209,6519.23019498892,70.5536585365854,207595,53.2286983118173,5.37870745,Belarussian,Europe,59335003902.1047
BLZ,NONE,0,11.6504472331031,1460800000.0,330236,20.0198627609372,4423.4968423614,72.57,22963,1.7,1.922034605,English,America,1338236638.613
BOL,NONE,1,9.7695858816954,23963033431.0,10212951,30.3691066361261,2346.3378439235,68.521,1098581,9.88446419823887,5.204092308,Spanish,America,20429831915.6059
BRA,NONE,0,4.34203511988559,2616200980392.0,197514541,23.102056242361,13245.6120301146,73.921,8511920,6.63644962213085,3.974425406,Portuguese,America,2188989722562.72
BRN,NONE,0,0.575033257520491,18525319978.0,393687,73.672917650088,47055.960643203,74.852,5765,0.137911563169595,3.745318352,Malay,Asia,13983786699.8792
BTN,GBR,1,14.2955525913407,1777101317.0,693297,41.9767059830459,2563.261223801,68.84,46620,8.84898569946799,7.982617041,Burmese,Asia,1553945281.59564
BWA,GBR,1,2.51091768009965,15351972361.0,2015406,35.0464653041146,7617.31004132551,61.91,600372,8.45987233408587,6.048361455,English,Africa,13312727615.7648
CAF,FRA,1,37.5690227836114,2437982840.0,4418639,26.6383554299084,551.749691833885,47.95,622984,1.19447572449849,4.194615337,French,Africa,2341223148.37222
CAN,NONE,0,1.76566446625627,1788647906048.0,34339328,27.1393405983891,52223.696112356,81.4487804878049,9976139,2.91213508872355,3.146881372,English,America,1620451332415.4
CHE,NONE,1,0.670935894205478,699579638413.0,7912398,25.2795684493631,91254.0347609687,82.6951219512195,41288,0.231349207650894,1.692808513,German,Europe,651068739003.502
CHL,NONE,0,3.67120659392567,252251992029.0,17233584,34.701322001914,14637.2334407887,78.986,756945,3.34121694259299,6.110918829,Spanish,America,212599041048.838
CHN,NONE,0,9.17765379535199,7551500124203.0,1344130000,46.5292894700168,5618.13226711491,74.708,9572378,5.55389892257492,9.550832179,Chinese,Asia,6783868514298.71
CIV,FRA,0,26.6908494054447,25414875503.0,21028652,24.2013665756443,1208.58319891729,53.62,322463,4.91243395052462,-4.387254789,French,Africa,23674117160.1155
CMR,DEU,0,13.4796522667294,29375448542.0,20906392,27.1917734843232,1405.0941234837,55.581,475442,2.93969946305094,4.129277161,French,Africa,28301211348.4838
COG,FRA,0,3.98393619152519,15655384440.0,4394842,65.8738951997526,3557.5561698838,60.785,342000,1.75958704273802,2.205919363,French,Africa,11888355208.9593
COL,NONE,0,6.09169610822214,334943871932.0,45662747,33.3021551703247,7335.16693447605,75.655,1141748,3.41758959146978,6.947891982,Spanish,America,288298910920.525
COM,NONE,0,30.5642208431509,1023086184.0,706578,11.6973085985464,1447.9452695898,62.24,1862,1.84266300756184,4.099846955,Arabic,Africa,993296175.694369
CPV,NONE,0,7.84317609042481,1865915544.0,498858,17.7643873881182,3740.37410269948,71.243,4033,4.47388342165027,3.968886345,Portuguese,Africa,1751142147.04013
CRI,NONE,0,5.59987212230861,42262697840.0,4633086,22.5898706745828,9229.83451670274,78.919,51076,4.87814554580439,4.30710166,Spanish,America,37492156415.4824
CUB,NONE,0,3.60487027105378,68990000000.0,11236671,22.258298304102,6139.71878325885,78.4,110861,4.7,2.802300836,Spanish,America,66619952970.334
CYP,NONE,0,2.1512815738882,27565469098.0,1124837,12.7616461579395,32396.3857437121,79.621,9251,3.28944939564212,0.4014379411,Greek,Europe,27699896670.6139
CZE,NONE,1,1.98251099186352,229562733399.0,10496088,33.6505738219241,21871.2660754128,77.8731707317073,78864,1.91721913635547,1.760359624,Czech,Europe,204241686348.433
DEU,DEU,0,0.910022423855418,3744408602684.0,80274983,27.0689719182049,46644.776027968,80.4365853658537,357325,2.07517452479837,3.925192705,German,Europe,3790949464137.69
DMA,NONE,0,12.5010164329487,501025925.9,70912,12.8381025599326,7065.46037237599,72.28,751,1.13123136526474,-0.2235506882,English,America,490846908.946619
DNK,NONE,0,1.31213398990708,344003137611.0,5570572,20.2546986056117,61753.647131977,79.8,43094,2.75868226051246,1.336777767,Danish,Europe,345316374125.449
DOM,NONE,0,5.63686024937601,58029750744.0,9813219,28.3955428840411,5913.42664885493,72.284,48734,5.79671466946105,3.133423005,Spanish,America,54323476321.159
DZA,FRA,0,8.11059043573339,200254371997.0,36661438,49.6247703075793,5455.67902952706,75.199,2381741,4.52421150505276,2.9,Arabic,Africa,168503780186.533
ECU,NONE,0,9.60111666656407,79276664000.0,15243885,37.6346398733428,5200.55510783504,75.289,275716,4.47453265795836,7.868140919,Spanish,America,74306191580.7519
EGY,GBR,0,13.8691050980964,235989672978.0,84529251,35.9517175990081,2791.81076592794,70.543,1001449,10.0649259874818,1.764571949,Arabic,Africa,216784268952.982
