source,target,weight
SVK,MKD,67833.13891716443
SVK,ECU,1856.072270884
SVK,LBY,3455.6859499239995
SVK,VEN,41776.68856711999
SVK,CHL,16053.460454922799
SVK,SLV,13.677977092
SVK,LKA,676.0482801592001
SVK,BLR,145947.08928999162
SVK,UZB,14165.561493293602
SVK,MNT,11055.197851287201
SVK,BHS,32.9120236172
SVK,TCD,919.1906725351998
SVK,MDG,2638.7698116936
SVK,GRC,206931.8654463373
SVK,GAB,531.1883451524
SVK,NCL,1442.8331713224
SVK,CRI,3604.2262765288006
SVK,LTU,169240.84012033642
SVK,TJK,686.2017083220001
SVK,TCA,0.445264768
SVK,DNK,533180.2426578577
SVK,NAM,1193.4640294564003
SVK,UGA,3772.7729057408
SVK,GRL,228.079920146
SVK,PAN,488.73652388079995
SVK,ZWE,405.4080054544
SVK,POL,5749112.360673068
SVK,ITA,3814199.3226038143
SVK,TZA,669.1091070404
SVK,BHR,7246.634006913601
SVK,MYS,21206.3342919844
SVK,PRT,197108.81678413122
SVK,ETH,4486.119067482
SVK,BWA,162.38388653240003
SVK,GTM,5265.997525729201
SVK,ZAR,1040.5503679584
SVK,ATG,42.8803886108
SVK,IRL,91109.37692760279
SVK,MMR,126.823928998
SVK,LSO,19.68905146
SVK,URY,3925.315049448
SVK,MUS,589.8867646464
SVK,COM,91.529738872
SVK,QAT,14140.4068168064
SVK,ISL,7918.1558924156
SVK,BLZ,589.7225732632
SVK,KWT,36021.507861289596
SVK,GNB,88.8011007156
SVK,PNG,1.53059764
SVK,LVA,163049.20949746002
SVK,AND,267.1421633712
SVK,ISR,76037.078260754
SVK,SYC,1381.9668689892
SVK,LAO,47.61410967559999
SVK,GIN,35.1953970056
SVK,BRA,103148.68505459963
SVK,ZAF,88361.71205108524
SVK,MAR,66811.08512595923
SVK,PRY,5154.1080553404
SVK,MLI,519.3512595856
SVK,GHA,2929.6640675328
SVK,FRO,203.6098382396
SVK,ESP,1669848.3618320865
SVK,BRN,2165.5618965968
SVK,CYP,79591.79387798601
SVK,GUY,100.5143470188
SVK,CUB,17851.33105481959
SVK,IRQ,9146.0347140812
SVK,CMR,339.1679139524
SVK,ALB,42068.86435061961
SVK,AUS,131843.6199685956
SVK,NLD,1900953.4970819268
SVK,ARE,109849.135033846
SVK,MRT,3139.1750554008004
SVK,KOR,137155.2780048308
SVK,BGD,2675.7587908428004
SVK,AUT,5507114.684183137
SVK,CIV,2816.362272958
SVK,PHL,7111.4404917296
SVK,MEX,88408.45511155842
SVK,GEO,8822.1032039088
SVK,WLD,78919373.83083157
SVK,BEL,1310078.0303668978
SVK,CYM,81.95654636
SVK,JOR,5175.448760799199
SVK,UKR,803301.5111832672
SVK,FIN,251722.4733067148
SVK,NER,2395.7985679628
SVK,SEN,5024.7864692844005
SVK,ABW,233.1893333588
SVK,PER,10753.273552273202
SVK,MLT,16491.9474582824
SVK,IRN,15347.580826759999
SVK,PYF,237.2259367712
SVK,VGB,600.3964046236
SVK,DZA,10061.738406902
SVK,PSE,1043.8147152888
SVK,CHN,2074181.8738286858
SVK,NOR,190892.784260516
SVK,OAS,36227.28279946361
SVK,BRB,13.970182096
SVK,GNQ,18.4673562528
SVK,LBR,239.6470639472
SVK,TKM,3576.9732898223992
SVK,VNM,13929.874502876797
SVK,BDI,65.8240472344
SVK,MOZ,401.774923238
SVK,HRV,281789.51386654127
SVK,GRD,68.74192291719999
SVK,UNS,1308.6136728184001
SVK,NPL,789.1747517316
SVK,THA,23014.2970961384
SVK,BEN,1550.7723083476
SVK,SUR,312.06659555759995
