"effect","significance"
"intercept",4.10094871940145e-95
"nodecov-net_barter_of_trade",7.50425692491375e-06
"nodecov-merchandise_of_gdp",0.00131640345068285
"nodecov-foreign_direct_investment_inflows",7.35725302355076e-22
"nodecov-industry_of_gdp",9.51036494704362e-05
"nodecov-agriculture_forestry_fishing_of_gdp",0.0449019829206762
"nodecov-gdp_us_dollar",0.00562041861847422
"absdiff-net_barter_of_trade",4.08947742880385e-05
"absdiff-foreign_direct_investment_inflows",2.2494816715944e-17
"absdiff-industry_of_gdp",1.77612058122626e-07
"absdiff-agriculture_forestry_fishing_of_gdp",0.00685516695149767
"absdiff-gdp_growth",0.0205040375481833
"absdiff-gdp_us_dollar",5.80046692931161e-32
"nodematch-continent",7.39636811478843e-23
"nodematch-landlocked",7.28308003210819e-12
"nodematch-langoff_1",0.00818966326787729
